lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"T. Young, .L. Stephenson, .C. Joseph, .B. Bogdanovic, .M. Turner",IND,1,13,83.3,104.0,-20.7,33.3,0.67,6.7,25.0,84.6,51.7,0.1,30.0,41.0,91.76,29.7,2018-02-05
"A. Jefferson, .L. Stephenson, .C. Joseph, .J. Young, .D. Sabonis",IND,1,6,130.0,133.3,-3.3,50.0,0.00,23.1,0.0,100,50.0,0.0,72.2,68.9,95.74,38.7,2018-02-05
"T. Young, .C. Joseph, .B. Bogdanovic, .M. Turner, .J. Young",IND,1,6,108.3,127.3,-18.9,60.0,1.00,20.0,0.0,0.0,0.0,0.3,75.0,77.0,95.72,48.1,2018-02-05
"T. Young, .L. Stephenson, .C. Joseph, .B. Bogdanovic, .D. Sabonis",IND,1,6,127.3,108.3,18.9,40.0,0.67,14.3,16.7,75.0,40.0,0.3,72.2,67.8,97.41,41.7,2018-02-05
"A. Jefferson, .L. Stephenson, .B. Bogdanovic, .J. Young, .D. Sabonis",IND,1,5,145.5,100.0,45.5,60.0,0.00,21.4,16.7,75.0,40.0,0.0,65.0,68.0,98.60,66.7,2018-02-05
"A. Jefferson, .B. Bogdanovic, .J. Young, .D. Sabonis, .B. Moore",IND,1,4,137.5,112.5,25.0,40.0,2.00,16.7,50.0,100,75.0,0.1,61.1,61.1,91.79,58.6,2018-02-05
"T. Young, .L. Stephenson, .C. Joseph, .M. Turner, .J. Young",IND,1,3,50.0,140.0,-90.0,0.0,0.00,0.0,0.0,50.0,20.0,0.2,25.0,30.7,94.85,0.0,2018-02-05
"A. Jefferson, .L. Stephenson, .C. Joseph, .B. Bogdanovic, .D. Sabonis",IND,1,2,125.0,175.0,-50.0,100,2.00,33.3,0.0,100,100,0.3,125.0,125.0,104.73,46.2,2018-02-05
"T. Young, .L. Stephenson, .J. Young, .D. Sabonis, .B. Moore",IND,1,2,100.0,100.0,0.0,100,1.00,25.0,50.0,100,66.7,0.4,62.5,62.5,129.73,26.1,2018-02-05
"L. Stephenson, .C. Joseph, .M. Turner, .J. Young, .D. Sabonis",IND,1,1,33.3,0.0,33.3,0.0,0.00,0.0,0.0,66.7,40.0,0.0,0.0,17.4,113.68,33.3,2018-02-05
"T. Young, .L. Stephenson, .B. Bogdanovic, .J. Young, .D. Sabonis",IND,1,1,33.3,50.0,-16.7,0.0,0.00,0.0,33.3,100,50.0,0.3,0.0,17.4,152.73,-100.0,2018-02-05
"L. Stephenson, .C. Joseph, .B. Bogdanovic, .M. Turner, .J. Young",IND,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2018-02-05
"T. Young, .B. Bogdanovic, .J. Young, .D. Sabonis, .B. Moore",IND,1,0,0.0,300.0,-300.0,0.0,0.00,0.0,100,0.0,100,0.5,0.0,0.0,205.71,-100.0,2018-02-05
"T. Young, .L. Stephenson, .C. Joseph, .B. Bogdanovic, .B. Moore",IND,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2018-02-05
"T. Young, .L. Stephenson, .C. Joseph, .D. Sabonis, .B. Moore",IND,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2018-02-05
"D. Gallinari, .D. Jordan, .A. Bradley, .T. Harris, .M. Teodosic",LAC,1,14,107.1,111.1,-4.0,76.9,3.33,25.6,16.7,83.3,50.0,0.1,62.5,60.3,97.54,59.8,2018-02-05
"L. Williams, .D. Gallinari, .D. Jordan, .T. Harris, .M. Teodosic",LAC,1,8,100.0,178.6,-78.6,33.3,1.00,10.0,14.3,50.0,30.8,0.1,50.0,57.6,95.18,33.8,2018-02-05
