,HOME,HOME_id,AWAY,AWAY_id,SEASON,GAMEDAY_FMT,weighted_ORPM_HOME,weighted_DRPM_HOME,weighted_ORPM_AWAY,weighted_DRPM_AWAY,HOMEWIN
0,CHI,1610612741,BKN,1610612751,2009,2009-04-04,-0.6362748050671538,-0.053306972052299714,-0.5688830003465364,-0.2299931451098645,True
1,BKN,1610612751,DET,1610612765,2009,2009-04-01,-0.5688830003465364,-0.2299931451098645,1.0759364521155168,0.7393176942049927,True
2,CHI,1610612741,MIL,1610612749,2009,2008-10-28,-0.6362748050671538,-0.053306972052299714,-0.06678341678846159,-1.2597938803784086,True
3,OKC,1610612760,MIN,1610612750,2009,2008-11-02,-1.4093675315317629,-0.5438084390180415,-0.7705257923141499,-0.7574856343941635,True
4,ORL,1610612753,MEM,1610612763,2009,2009-04-08,0.13435718891555434,0.5176711864002251,-1.3998185800380334,-1.1459267609828991,True
5,BKN,1610612751,MIN,1610612750,2009,2008-12-05,-0.5688830003465364,-0.2299931451098645,-0.7705257923141499,-0.7574856343941635,True
6,OKC,1610612760,GSW,1610612744,2009,2008-12-08,-1.4093675315317629,-0.5438084390180415,0.4109090710263327,-0.5522206765303177,False
7,BKN,1610612751,ORL,1610612753,2009,2009-04-11,-0.5688830003465364,-0.2299931451098645,0.13435718891555434,0.5176711864002251,True
8,BKN,1610612751,DET,1610612765,2009,2008-11-07,-0.5688830003465364,-0.2299931451098645,1.0759364521155168,0.7393176942049927,True
9,BKN,1610612751,WAS,1610612764,2009,2009-02-20,-0.5688830003465364,-0.2299931451098645,0.31729759504737204,-0.2900268319410496,False
10,OKC,1610612760,SAS,1610612759,2009,2009-04-07,-1.4093675315317629,-0.5438084390180415,-0.7627335607741805,0.5159989007378084,False
11,OKC,1610612760,MEM,1610612763,2009,2008-12-10,-1.4093675315317629,-0.5438084390180415,-1.3998185800380334,-1.1459267609828991,False
12,OKC,1610612760,NYK,1610612752,2009,2009-01-06,-1.4093675315317629,-0.5438084390180415,-0.737559196020546,-0.6050129808253631,True
13,OKC,1610612760,POR,1610612757,2009,2009-04-03,-1.4093675315317629,-0.5438084390180415,-0.06435420841916052,0.14927776702388554,False
14,BKN,1610612751,NYK,1610612752,2009,2009-03-08,-0.5688830003465364,-0.2299931451098645,-0.737559196020546,-0.6050129808253631,True
15,OKC,1610612760,PHX,1610612756,2009,2008-12-29,-1.4093675315317629,-0.5438084390180415,0.882438377012201,-0.4048301901970608,False
16,BKN,1610612751,POR,1610612757,2009,2009-01-15,-0.5688830003465364,-0.2299931451098645,-0.06435420841916052,0.14927776702388554,False
17,OKC,1610612760,MIL,1610612749,2009,2008-10-29,-1.4093675315317629,-0.5438084390180415,-0.06678341678846159,-1.2597938803784086,False
18,OKC,1610612760,GSW,1610612744,2009,2008-12-31,-1.4093675315317629,-0.5438084390180415,0.4109090710263327,-0.5522206765303177,True
19,OKC,1610612760,IND,1610612754,2009,2009-04-05,-1.4093675315317629,-0.5438084390180415,0.14051422789006807,-0.5210579006309233,False
20,OKC,1610612760,TOR,1610612761,2009,2008-12-19,-1.4093675315317629,-0.5438084390180415,-0.2193116669818137,0.7729088722219494,True
21,OKC,1610612760,DEN,1610612743,2009,2009-01-02,-1.4093675315317629,-0.5438084390180415,0.742307462100925,-0.5200567689258822,False
22,OKC,1610612760,CHI,1610612741,2009,2009-03-18,-1.4093675315317629,-0.5438084390180415,-0.6362748050671538,-0.053306972052299714,False
23,OKC,1610612760,SAC,1610612758,2009,2009-02-08,-1.4093675315317629,-0.5438084390180415,-0.5580317133601953,-0.43591314743240256,True
24,OKC,1610612760,SAS,1610612759,2009,2009-03-16,-1.4093675315317629,-0.5438084390180415,-0.7627335607741805,0.5159989007378084,True
25,OKC,1610612760,CLE,1610612739,2009,2008-12-21,-1.4093675315317629,-0.5438084390180415,0.5221784093375936,0.6569457400521617,False
26,CLE,1610612739,MIA,1610612748,2009,2009-03-07,0.5221784093375936,0.6569457400521617,-0.7240555580635527,0.2570715599134442,True
27,CLE,1610612739,CHI,1610612741,2009,2008-11-05,0.5221784093375936,0.6569457400521617,-0.6362748050671538,-0.053306972052299714,True
28,BKN,1610612751,BOS,1610612738,2009,2009-01-17,-0.5688830003465364,-0.2299931451098645,0.4614634587741986,0.7687631110262545,False
29,BKN,1610612751,MIL,1610612749,2009,2009-03-30,-0.5688830003465364,-0.2299931451098645,-0.06678341678846159,-1.2597938803784086,False
30,CLE,1610612739,TOR,1610612761,2009,2009-02-03,0.5221784093375936,0.6569457400521617,-0.2193116669818137,0.7729088722219494,True
31,CLE,1610612739,DET,1610612765,2009,2009-02-22,0.5221784093375936,0.6569457400521617,1.0759364521155168,0.7393176942049927,True
32,BKN,1610612751,CHA,1610612766,2009,2009-04-13,-0.5688830003465364,-0.2299931451098645,-0.654689220217361,0.4131239990307328,True
33,OKC,1610612760,DET,1610612765,2009,2009-01-16,-1.4093675315317629,-0.5438084390180415,1.0759364521155168,0.7393176942049927,True
34,OKC,1610612760,UTA,1610612762,2009,2009-01-14,-1.4093675315317629,-0.5438084390180415,0.7933870672937184,0.14263201004248335,True
35,CLE,1610612739,ORL,1610612753,2009,2009-03-17,0.5221784093375936,0.6569457400521617,0.13435718891555434,0.5176711864002251,True
36,BKN,1610612751,ATL,1610612737,2009,2009-01-02,-0.5688830003465364,-0.2299931451098645,-0.09791977961306264,-0.3957369586810878,True
37,CHI,1610612741,MIL,1610612749,2009,2009-03-06,-0.6362748050671538,-0.053306972052299714,-0.06678341678846159,-1.2597938803784086,True
38,ORL,1610612753,NYK,1610612752,2009,2009-04-10,0.13435718891555434,0.5176711864002251,-0.737559196020546,-0.6050129808253631,False
39,CLE,1610612739,IND,1610612754,2009,2008-11-07,0.5221784093375936,0.6569457400521617,0.14051422789006807,-0.5210579006309233,True
40,OKC,1610612760,MIA,1610612748,2009,2009-01-18,-1.4093675315317629,-0.5438084390180415,-0.7240555580635527,0.2570715599134442,False
41,OKC,1610612760,MIN,1610612750,2009,2008-11-28,-1.4093675315317629,-0.5438084390180415,-0.7705257923141499,-0.7574856343941635,False
42,CLE,1610612739,NYK,1610612752,2009,2009-03-15,0.5221784093375936,0.6569457400521617,-0.737559196020546,-0.6050129808253631,True
43,OKC,1610612760,UTA,1610612762,2009,2009-03-20,-1.4093675315317629,-0.5438084390180415,0.7933870672937184,0.14263201004248335,False
44,BKN,1610612751,CHI,1610612741,2009,2008-12-29,-0.5688830003465364,-0.2299931451098645,-0.6362748050671538,-0.053306972052299714,False
45,OKC,1610612760,HOU,1610612745,2009,2009-01-09,-1.4093675315317629,-0.5438084390180415,0.3017035136516536,0.9667348907736516,False
46,CHI,1610612741,MEM,1610612763,2009,2008-11-01,-0.6362748050671538,-0.053306972052299714,-1.3998185800380334,-1.1459267609828991,True
47,BKN,1610612751,OKC,1610612760,2009,2009-01-12,-0.5688830003465364,-0.2299931451098645,-1.4093675315317629,-0.5438084390180415,True
48,OKC,1610612760,BKN,1610612751,2009,2009-01-26,-1.4093675315317629,-0.5438084390180415,-0.5688830003465364,-0.2299931451098645,True
49,OKC,1610612760,LAC,1610612746,2009,2008-12-16,-1.4093675315317629,-0.5438084390180415,-1.0334368157993936,0.4774984265172268,False
50,OKC,1610612760,LAL,1610612747,2009,2009-03-24,-1.4093675315317629,-0.5438084390180415,0.6640713516726304,0.5795989387472288,False
51,OKC,1610612760,MEM,1610612763,2009,2009-01-28,-1.4093675315317629,-0.5438084390180415,-1.3998185800380334,-1.1459267609828991,True
52,NYK,1610612752,SAC,1610612758,2009,2009-03-20,-0.737559196020546,-0.6050129808253631,-0.5580317133601953,-0.43591314743240256,False
53,BKN,1610612751,MIA,1610612748,2009,2009-03-20,-0.5688830003465364,-0.2299931451098645,-0.7240555580635527,0.2570715599134442,True
54,NYK,1610612752,NOP,1610612740,2009,2009-03-27,-0.737559196020546,-0.6050129808253631,0.12132479391774866,0.13947953850673914,True
55,NOP,1610612740,ATL,1610612737,2009,2008-11-05,0.12132479391774866,0.13947953850673914,-0.09791977961306264,-0.3957369586810878,False
56,CHI,1610612741,OKC,1610612760,2009,2009-01-10,-0.6362748050671538,-0.053306972052299714,-1.4093675315317629,-0.5438084390180415,False
57,NOP,1610612740,MIA,1610612748,2009,2008-11-08,0.12132479391774866,0.13947953850673914,-0.7240555580635527,0.2570715599134442,True
58,NYK,1610612752,PHI,1610612755,2009,2009-01-17,-0.737559196020546,-0.6050129808253631,-0.44330098961901293,0.4323805799779474,False
59,CLE,1610612739,DET,1610612765,2009,2009-03-31,0.5221784093375936,0.6569457400521617,1.0759364521155168,0.7393176942049927,True
60,NOP,1610612740,LAL,1610612747,2009,2008-11-12,0.12132479391774866,0.13947953850673914,0.6640713516726304,0.5795989387472288,False
61,NYK,1610612752,CHI,1610612741,2009,2009-01-19,-0.737559196020546,-0.6050129808253631,-0.6362748050671538,-0.053306972052299714,True
62,NOP,1610612740,PHX,1610612756,2009,2008-12-03,0.12132479391774866,0.13947953850673914,0.882438377012201,-0.4048301901970608,True
63,NOP,1610612740,CHA,1610612766,2009,2008-12-10,0.12132479391774866,0.13947953850673914,-0.654689220217361,0.4131239990307328,True
64,CHI,1610612741,ATL,1610612737,2009,2008-11-11,-0.6362748050671538,-0.053306972052299714,-0.09791977961306264,-0.3957369586810878,False
65,CLE,1610612739,ATL,1610612737,2009,2009-03-21,0.5221784093375936,0.6569457400521617,-0.09791977961306264,-0.3957369586810878,True
66,NYK,1610612752,MIN,1610612750,2009,2008-12-26,-0.737559196020546,-0.6050129808253631,-0.7705257923141499,-0.7574856343941635,False
67,NYK,1610612752,DET,1610612765,2009,2009-04-08,-0.737559196020546,-0.6050129808253631,1.0759364521155168,0.7393176942049927,False
68,NOP,1610612740,MEM,1610612763,2009,2008-12-06,0.12132479391774866,0.13947953850673914,-1.3998185800380334,-1.1459267609828991,True
69,NOP,1610612740,SAS,1610612759,2009,2008-12-17,0.12132479391774866,0.13947953850673914,-0.7627335607741805,0.5159989007378084,True
70,NYK,1610612752,MIL,1610612749,2009,2008-12-19,-0.737559196020546,-0.6050129808253631,-0.06678341678846159,-1.2597938803784086,False
71,NYK,1610612752,BKN,1610612751,2009,2009-04-15,-0.737559196020546,-0.6050129808253631,-0.5688830003465364,-0.2299931451098645,True
72,NYK,1610612752,WAS,1610612764,2009,2009-01-14,-0.737559196020546,-0.6050129808253631,0.31729759504737204,-0.2900268319410496,True
73,NOP,1610612740,CLE,1610612739,2009,2008-11-01,0.12132479391774866,0.13947953850673914,0.5221784093375936,0.6569457400521617,True
74,NOP,1610612740,DEN,1610612743,2009,2009-01-28,0.12132479391774866,0.13947953850673914,0.742307462100925,-0.5200567689258822,True
75,NOP,1610612740,DAL,1610612742,2009,2009-03-05,0.12132479391774866,0.13947953850673914,0.1665666214865636,0.11397649094296047,True
76,NOP,1610612740,OKC,1610612760,2009,2009-03-07,0.12132479391774866,0.13947953850673914,-1.4093675315317629,-0.5438084390180415,True
77,CHI,1610612741,WAS,1610612764,2009,2009-01-09,-0.6362748050671538,-0.053306972052299714,0.31729759504737204,-0.2900268319410496,True
78,NOP,1610612740,MIN,1610612750,2009,2009-02-08,0.12132479391774866,0.13947953850673914,-0.7705257923141499,-0.7574856343941635,True
79,NYK,1610612752,BOS,1610612738,2009,2009-01-04,-0.737559196020546,-0.6050129808253631,0.4614634587741986,0.7687631110262545,True
80,CHI,1610612741,DET,1610612765,2009,2009-03-24,-0.6362748050671538,-0.053306972052299714,1.0759364521155168,0.7393176942049927,True
81,NOP,1610612740,OKC,1610612760,2009,2008-11-22,0.12132479391774866,0.13947953850673914,-1.4093675315317629,-0.5438084390180415,True
