lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"S. Blake, .L. Aldridge, .B. Roy, .G. Oden, .N. Batum",POR,1,14,108.3,83.3,25.0,54.5,1.00,17.6,44.4,55.6,51.9,0.3,60.0,62.3,81.90,68.4,2008-12-27
"T. Outlaw, .S. Blake, .L. Aldridge, .B. Roy, .G. Oden",POR,1,7,146.7,166.7,-20.0,83.3,0.00,20.8,50.0,66.7,54.5,0.0,46.4,59.8,96.56,41.4,2008-12-27
"J. Przybilla, .T. Outlaw, .C. Frye, .S. Rodriguez, .R. Fernandez",POR,1,6,90.9,125.0,-34.1,50.0,0.00,14.3,14.3,66.7,38.5,0.0,45.5,45.5,93.48,32.1,2008-12-27
"S. Blake, .L. Aldridge, .B. Roy, .G. Oden, .R. Fernandez",POR,1,6,170.0,77.8,92.2,37.5,0.00,21.4,50.0,66.7,62.5,0.0,85.0,81.4,81.43,95.9,2008-12-27
"J. Przybilla, .T. Outlaw, .B. Roy, .S. Rodriguez, .R. Fernandez",POR,1,4,87.5,142.9,-55.4,0.0,0.00,0.0,33.3,100,50.0,0.3,70.0,70.0,85.14,24.1,2008-12-27
"J. Przybilla, .T. Outlaw, .S. Blake, .L. Aldridge, .B. Roy",POR,1,4,133.3,75.0,58.3,60.0,0.00,25.0,0.0,100,57.1,0.0,62.5,67.6,94.52,80.0,2008-12-27
"J. Przybilla, .S. Blake, .L. Aldridge, .B. Roy, .N. Batum",POR,1,2,133.3,133.3,0.0,50.0,0.00,25.0,0.0,100,50.0,0.0,66.7,66.7,88.16,50.0,2008-12-27
"J. Przybilla, .T. Outlaw, .L. Aldridge, .S. Rodriguez, .R. Fernandez",POR,1,2,0.0,66.7,-66.7,0.0,0.00,0.0,33.3,100,50.0,0.0,0.0,0.0,93.33,100,2008-12-27
"J. Przybilla, .T. Outlaw, .L. Aldridge, .B. Roy, .S. Rodriguez",POR,1,1,100.0,0.0,100.0,0.0,0.00,0.0,0.0,100,50.0,0.0,50.0,50.0,101.41,200.0,2008-12-27
"T. Outlaw, .L. Aldridge, .S. Rodriguez, .G. Oden, .R. Fernandez",POR,1,1,0.0,0.0,0.0,0.0,0.00,0.0,50.0,50.0,50.0,0.0,0.0,0.0,72.00,28.6,2008-12-27
"T. Outlaw, .S. Blake, .L. Aldridge, .R. Fernandez, .N. Batum",POR,1,1,0.0,0.0,0.0,0.0,0.00,0.0,100,0.0,100,0.0,0.0,0.0,81.36,-100.0,2008-12-27
"J. Przybilla, .S. Blake, .L. Aldridge, .B. Roy, .R. Fernandez",POR,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2008-12-27
"J. Przybilla, .T. Outlaw, .S. Blake, .B. Roy, .R. Fernandez",POR,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2008-12-27
"L. Aldridge, .B. Roy, .S. Rodriguez, .G. Oden, .R. Fernandez",POR,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2008-12-27
"T. Outlaw, .C. Frye, .S. Rodriguez, .G. Oden, .R. Fernandez",POR,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2008-12-27
"T. Outlaw, .S. Blake, .L. Aldridge, .G. Oden, .N. Batum",POR,1,0,200.0,0.0,200.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,113.6,218.18,300.0,2008-12-27
"J. O'Neal, .C. Bosh, .J. Kapono, .J. Calderon, .J. Moon",TOR,1,23,102.5,120.0,-17.5,37.5,1.20,10.5,44.0,58.8,50.0,0.1,39.0,45.6,82.70,39.5,2008-12-27
"A. Parker, .C. Bosh, .J. Graham, .J. Calderon, .A. Bargnani",TOR,1,4,116.7,100.0,16.7,33.3,0.50,14.3,0.0,66.7,50.0,0.3,87.5,87.5,80.00,63.2,2008-12-27
"J. O'Neal, .A. Parker, .W. Solomon, .J. Graham, .A. Bargnani",TOR,1,4,155.6,100.0,55.6,100,5.00,31.3,66.7,100,83.3,0.1,87.5,87.5,89.65,85.4,2008-12-27
"A. Parker, .C. Bosh, .J. Kapono, .J. Calderon, .A. Bargnani",TOR,1,3,100.0,100.0,0.0,0.0,0.00,0.0,0.0,100,60.0,0.0,60.0,60.0,95.47,50.0,2008-12-27
"C. Bosh, .J. Kapono, .J. Calderon, .J. Moon, .A. Bargnani",TOR,1,3,166.7,100.0,66.7,100,0.00,33.3,50.0,50.0,50.0,0.0,62.5,62.5,65.45,38.5,2008-12-27
"A. Parker, .W. Solomon, .C. Bosh, .J. Graham, .A. Bargnani",TOR,1,2,66.7,0.0,66.7,0.0,0.00,0.0,0.0,66.7,50.0,0.3,0.0,53.2,93.91,-50.0,2008-12-27
"J. O'Neal, .A. Parker, .C. Bosh, .J. Kapono, .J. Calderon",TOR,1,2,125.0,137.5,-12.5,75.0,1.50,27.3,0.0,50.0,33.3,0.3,90.0,91.9,170.16,37.2,2008-12-27
"J. O'Neal, .A. Parker, .J. Graham, .J. Calderon, .A. Bargnani",TOR,1,2,0.0,200.0,-200.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.95,-28.6,2008-12-27
