lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"P. Tucker, .E. Gordon, .J. Harden, .C. Capela, .D. House Jr",HOU,1,23,108.2,106.0,2.2,40.0,0.67,10.0,25.0,57.1,43.8,0.2,51.5,60.7,104.29,52.3,2019-03-15
"G. Green, .J. Harden, .I. Shumpert, .K. Faried, .A. Rivers",HOU,1,6,107.1,128.6,-21.4,66.7,2.00,21.1,16.7,100,44.4,0.1,54.2,58.2,113.55,36.7,2019-03-15
"E. Gordon, .J. Harden, .I. Shumpert, .K. Faried, .A. Rivers",HOU,1,3,50.0,40.0,10.0,100,0.00,12.5,25.0,33.3,28.6,0.0,20.0,25.5,104.90,200.0,2019-03-15
"G. Green, .E. Gordon, .I. Shumpert, .K. Faried, .A. Rivers",HOU,1,3,57.1,57.1,0.0,0.0,0.00,0.0,20.0,80.0,50.0,0.0,20.0,31.6,121.45,70.0,2019-03-15
"G. Green, .P. Tucker, .J. Harden, .C. Capela, .D. House Jr",HOU,1,3,66.7,57.1,9.5,100,1.00,25.0,0.0,100,66.7,0.3,50.0,50.0,112.10,77.8,2019-03-15
"J. Harden, .I. Shumpert, .A. Rivers, .C. Capela, .D. House Jr",HOU,1,2,80.0,80.0,0.0,0.0,0.00,0.0,0.0,100,40.0,0.0,40.0,40.0,117.07,50.0,2019-03-15
"J. Harden, .I. Shumpert, .K. Faried, .A. Rivers, .D. House Jr",HOU,1,2,175.0,233.3,-58.3,66.7,0.00,33.3,0.0,0.0,0.0,0.0,116.7,116.7,82.62,50.0,2019-03-15
"P. Tucker, .E. Gordon, .A. Rivers, .C. Capela, .D. House Jr",HOU,1,2,80.0,80.0,0.0,0.0,0.00,0.0,25.0,100,40.0,0.0,25.0,41.0,114.29,38.5,2019-03-15
"P. Tucker, .J. Harden, .I. Shumpert, .C. Capela, .D. House Jr",HOU,1,2,75.0,40.0,35.0,100,1.00,20.0,0.0,66.7,40.0,0.3,50.0,50.0,129.60,57.1,2019-03-15
"G. Green, .E. Gordon, .J. Harden, .K. Faried, .A. Rivers",HOU,1,1,0.0,0.0,0.0,0.0,0.00,0.0,50.0,100,66.7,0.0,0.0,0.0,113.98,100,2019-03-15
"P. Tucker, .E. Gordon, .J. Harden, .I. Shumpert, .C. Capela",HOU,1,1,300.0,66.7,233.3,100,0.00,50.0,0.0,0.0,0.0,0.0,150.0,150.0,91.14,105.9,2019-03-15
"P. Tucker, .E. Gordon, .K. Faried, .A. Rivers, .D. House Jr",HOU,1,1,100.0,50.0,50.0,0.0,0.00,0.0,0.0,100,50.0,0.0,62.5,51.2,150.70,72.7,2019-03-15
"E. Gordon, .I. Shumpert, .K. Faried, .A. Rivers, .D. House Jr",HOU,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-03-15
"E. Gordon, .J. Harden, .I. Shumpert, .K. Faried, .C. Capela",HOU,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-03-15
"G. Green, .P. Tucker, .J. Harden, .I. Shumpert, .A. Rivers",HOU,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-03-15
"G. Green, .P. Tucker, .J. Harden, .I. Shumpert, .C. Capela",HOU,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-03-15
