lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"V. Carter, .T. Allen, .M. Conley, .B. Wright, .J. Ennis III",MEM,1,15,134.5,88.9,45.6,61.5,8.00,20.5,25.0,91.7,58.3,0.0,60.0,66.3,92.27,70.7,2017-03-29
"V. Carter, .T. Allen, .M. Conley, .B. Wright, .A. Harrison",MEM,1,4,200.0,62.5,137.5,33.3,0.00,22.2,0.0,80.0,66.7,0.0,100,100,96.43,92.1,2017-03-29
"V. Carter, .Z. Randolph, .T. Allen, .M. Conley, .J. Ennis III",MEM,1,4,25.0,50.0,-25.0,100,1.00,7.7,44.4,50.0,46.7,0.1,10.0,10.0,93.28,-14.3,2017-03-29
"Z. Randolph, .M. Conley, .B. Wright, .J. Ennis III, .T. Daniels",MEM,1,4,90.0,111.1,-21.1,50.0,2.00,16.7,0.0,60.0,33.3,0.1,56.3,56.3,101.71,44.4,2017-03-29
"V. Carter, .Z. Randolph, .T. Allen, .J. Ennis III, .A. Harrison",MEM,1,3,220.0,80.0,140.0,50.0,0.00,25.0,100,0.0,100,0.0,80.0,81.4,92.90,92.0,2017-03-29
"J. Ennis III, .T. Daniels, .W. Baldwin IV, .D. Davis, .W. Selden",MEM,1,2,0.0,80.0,-80.0,0.0,0.00,0.0,0.0,100,42.9,0.2,0.0,0.0,130.79,-100.0,2017-03-29
"V. Carter, .Z. Randolph, .M. Conley, .B. Wright, .T. Daniels",MEM,1,2,66.7,166.7,-100.0,0.0,0.00,0.0,50.0,100,66.7,0.0,33.3,33.3,90.95,20.0,2017-03-29
"V. Carter, .Z. Randolph, .T. Allen, .M. Conley, .T. Daniels",MEM,1,2,120.0,100.0,20.0,50.0,1.00,16.7,0.0,50.0,50.0,0.2,100,104.2,115.71,92.3,2017-03-29
"Z. Randolph, .M. Conley, .J. Ennis III, .T. Daniels, .D. Davis",MEM,1,2,125.0,125.0,0.0,0.0,0.00,0.0,0.0,100,50.0,0.0,83.3,83.3,105.69,62.5,2017-03-29
"Z. Randolph, .M. Conley, .T. Daniels, .A. Harrison, .D. Davis",MEM,1,2,150.0,200.0,-50.0,100,0.00,33.3,0.0,0.0,0.0,0.0,75.0,75.0,92.57,18.2,2017-03-29
"Z. Randolph, .T. Allen, .T. Daniels, .A. Harrison, .D. Davis",MEM,1,2,140.0,225.0,-85.0,66.7,0.00,22.2,66.7,100,75.0,0.0,58.3,58.3,93.78,39.0,2017-03-29
"B. Wright, .T. Daniels, .W. Baldwin IV, .D. Davis, .W. Selden",MEM,1,1,100.0,150.0,-50.0,100,0.00,33.3,100,100,100,0.0,50.0,50.0,101.23,33.3,2017-03-29
"T. Allen, .M. Conley, .B. Wright, .J. Ennis III, .W. Selden",MEM,1,1,0.0,66.7,-66.7,0.0,0.00,0.0,0.0,33.3,20.0,0.0,0.0,0.0,96.00,-66.7,2017-03-29
"V. Carter, .T. Allen, .B. Wright, .T. Daniels, .A. Harrison",MEM,1,1,0.0,100.0,-100.0,0.0,0.00,0.0,0.0,100,50.0,0.5,0.0,0.0,102.86,-100.0,2017-03-29
