lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"A. Aminu, .D. Lillard, .M. Leonard, .C. McCollum, .M. Plumlee",POR,1,19,128.9,97.4,31.6,73.7,4.67,25.0,22.2,94.1,57.1,0.1,64.3,62.9,95.00,61.2,2015-11-11
"E. Davis, .D. Lillard, .M. Leonard, .M. Harkless, .A. Crabbe",POR,1,4,40.0,155.6,-115.6,100,1.00,16.7,16.7,40.0,27.3,0.2,28.6,28.6,103.25,10.3,2015-11-11
"G. Henderson, .A. Aminu, .D. Lillard, .C. McCollum, .M. Plumlee",POR,1,4,133.3,100.0,33.3,100,4.00,28.6,33.3,75.0,57.1,0.1,64.3,68.5,99.31,69.4,2015-11-11
"G. Henderson, .E. Davis, .D. Lillard, .M. Harkless, .A. Crabbe",POR,1,4,100.0,150.0,-50.0,33.3,1.00,10.0,66.7,50.0,57.1,0.1,50.0,50.9,83.20,37.9,2015-11-11
"E. Davis, .M. Harkless, .A. Crabbe, .C. McCollum, .N. Vonleh",POR,1,3,80.0,80.0,0.0,50.0,1.00,12.5,66.7,100,80.0,0.2,40.0,40.0,93.51,77.8,2015-11-11
"G. Henderson, .A. Aminu, .E. Davis, .C. McCollum, .N. Vonleh",POR,1,3,80.0,120.0,-40.0,0.0,0.00,0.0,25.0,100,40.0,0.0,33.3,33.3,91.14,7.1,2015-11-11
"A. Aminu, .D. Lillard, .A. Crabbe, .C. McCollum, .M. Plumlee",POR,1,2,50.0,125.0,-75.0,0.0,0.00,0.0,0.0,100,25.0,0.0,0.0,25.8,111.52,-44.4,2015-11-11
"G. Henderson, .E. Davis, .M. Harkless, .A. Crabbe, .C. McCollum",POR,1,2,80.0,100.0,-20.0,50.0,1.00,16.7,0.0,50.0,25.0,0.2,50.0,50.0,115.20,42.1,2015-11-11
"A. Aminu, .D. Lillard, .M. Harkless, .A. Crabbe, .M. Plumlee",POR,1,1,100.0,200.0,-100.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,53.2,91.43,0.0,2015-11-11
"A. Crabbe, .M. Plumlee, .N. Vonleh, .T. Frazier, .P. Connaughton",POR,1,1,0.0,100.0,-100.0,0.0,0.00,0.0,66.7,0.0,66.7,0.0,0.0,0.0,78.98,-500.0,2015-11-11
"G. Henderson, .A. Aminu, .A. Crabbe, .C. McCollum, .M. Plumlee",POR,1,1,150.0,200.0,-50.0,0.0,0.00,0.0,100,0.0,100,0.0,33.3,38.7,72.00,25.0,2015-11-11
"G. Henderson, .A. Aminu, .D. Lillard, .A. Crabbe, .M. Plumlee",POR,1,1,150.0,233.3,-83.3,100,0.00,25.0,50.0,0.0,50.0,0.0,50.0,52.1,85.71,23.8,2015-11-11
"G. Henderson, .A. Aminu, .E. Davis, .D. Lillard, .C. McCollum",POR,1,1,300.0,50.0,250.0,100,0.00,50.0,0.0,100,100,0.0,150.0,150.0,127.06,100,2015-11-11
"G. Henderson, .E. Davis, .M. Harkless, .C. McCollum, .N. Vonleh",POR,1,1,0.0,200.0,-200.0,0.0,0.00,0.0,33.3,0.0,25.0,0.0,0.0,0.0,72.00,-50.0,2015-11-11
"A. Aminu, .D. Lillard, .M. Leonard, .A. Crabbe, .M. Plumlee",POR,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.00,100,2015-11-11
