lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"K. Garnett, .R. Allen, .P. Pierce, .K. Perkins, .R. Rondo",BOS,1,19,116.7,94.4,22.2,68.8,1.57,22.4,18.2,80.0,58.1,0.2,64.8,68.8,92.82,65.9,2011-02-06
"K. Garnett, .R. Allen, .P. Pierce, .R. Rondo, .G. Davis",BOS,1,10,100.0,72.2,27.8,66.7,1.00,16.0,28.6,70.0,52.9,0.2,50.0,59.5,90.61,90.2,2011-02-06
"P. Pierce, .K. Perkins, .N. Robinson, .V. Wafer, .G. Davis",BOS,1,5,87.5,22.2,65.3,100,0.00,20.0,0.0,75.0,46.2,0.0,33.3,45.1,84.41,220.0,2011-02-06
"R. Allen, .K. Perkins, .V. Wafer, .R. Rondo, .G. Davis",BOS,1,5,41.7,100.0,-58.3,0.0,0.00,0.0,0.0,40.0,23.5,0.2,22.2,25.3,106.01,-4.8,2011-02-06
"R. Allen, .P. Pierce, .K. Perkins, .R. Rondo, .G. Davis",BOS,1,2,100.0,200.0,-100.0,100,0.00,25.0,50.0,0.0,50.0,0.0,33.3,33.3,77.42,6.7,2011-02-06
"K. Garnett, .P. Pierce, .N. Robinson, .V. Wafer, .G. Davis",BOS,1,1,150.0,100.0,50.0,100,0.00,33.3,0.0,100,100,0.0,100,104.2,164.76,83.3,2011-02-06
"K. Garnett, .R. Allen, .P. Pierce, .K. Perkins, .N. Robinson",BOS,1,1,150.0,0.0,150.0,100,1.00,33.3,0.0,66.7,66.7,0.5,100,104.2,83.48,200.0,2011-02-06
"K. Garnett, .R. Allen, .P. Pierce, .N. Robinson, .G. Davis",BOS,1,1,0.0,100.0,-100.0,0.0,0.00,0.0,0.0,100,50.0,0.0,0.0,0.0,144.00,100,2011-02-06
"K. Garnett, .R. Allen, .P. Pierce, .N. Robinson, .S. Erden",BOS,1,1,133.3,200.0,-66.7,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,62.5,98.63,44.4,2011-02-06
"K. Perkins, .M. Daniels, .V. Wafer, .R. Rondo, .G. Davis",BOS,1,1,0.0,200.0,-200.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.22,200.0,2011-02-06
