lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"E. Gordon, .O. Asik, .T. Evans, .Q. Pondexter, .A. Davis",NOP,1,27,113.0,94.5,18.4,85.7,2.00,22.2,33.3,82.1,58.2,0.2,50.0,55.9,97.20,60.5,2015-03-17
"A. Ajinca, .D. Cunningham, .E. Williams, .Q. Pondexter, .N. Cole",NOP,1,3,50.0,66.7,-16.7,100,1.00,14.3,0.0,100,42.9,0.2,25.0,28.2,110.06,-100.0,2015-03-17
"A. Ajinca, .T. Evans, .D. Cunningham, .N. Cole, .A. Davis",NOP,1,3,75.0,75.0,0.0,100,2.00,20.0,25.0,80.0,55.6,0.1,33.3,43.6,121.90,58.3,2015-03-17
"A. Ajinca, .T. Evans, .Q. Pondexter, .N. Cole, .A. Davis",NOP,1,3,133.3,66.7,66.7,100,0.00,33.3,50.0,66.7,62.5,0.0,70.0,68.0,86.40,110.5,2015-03-17
"A. Ajinca, .D. Cunningham, .E. Williams, .N. Cole, .A. Davis",NOP,1,2,0.0,120.0,-120.0,0.0,0.00,0.0,20.0,100,33.3,0.0,0.0,0.0,87.57,-157.1,2015-03-17
"A. Ajinca, .E. Williams, .Q. Pondexter, .N. Cole, .A. Davis",NOP,1,2,0.0,66.7,-66.7,0.0,0.00,0.0,0.0,100,40.0,0.0,0.0,0.0,86.40,-80.0,2015-03-17
"E. Gordon, .A. Ajinca, .D. Cunningham, .E. Williams, .N. Cole",NOP,1,2,0.0,66.7,-66.7,0.0,0.00,0.0,40.0,33.3,37.5,0.0,0.0,0.0,85.54,-600.0,2015-03-17
"E. Gordon, .A. Ajinca, .D. Cunningham, .Q. Pondexter, .N. Cole",NOP,1,2,75.0,133.3,-58.3,100,1.00,20.0,0.0,50.0,25.0,0.3,50.0,50.0,82.62,30.8,2015-03-17
"E. Gordon, .O. Asik, .Q. Pondexter, .N. Cole, .A. Davis",NOP,1,1,0.0,100.0,-100.0,0.0,0.00,0.0,0.0,100,33.3,0.0,0.0,0.0,110.77,-50.0,2015-03-17
"E. Gordon, .O. Asik, .T. Evans, .N. Cole, .A. Davis",NOP,1,1,0.0,0.0,0.0,0.0,0.00,0.0,0.0,50.0,33.3,0.5,0.0,0.0,82.29,50.0,2015-03-17
"E. Gordon, .T. Evans, .D. Cunningham, .N. Cole, .A. Davis",NOP,1,1,66.7,66.7,0.0,0.0,0.00,0.0,0.0,100,50.0,0.0,0.0,34.7,104.10,55.6,2015-03-17
"E. Gordon, .A. Ajinca, .T. Evans, .Q. Pondexter, .A. Davis",NOP,1,0,200.0,0.0,200.0,100,0.00,50.0,0.0,0.0,0.0,0.0,100,100,120.00,0.0,2015-03-17
"E. Gordon, .D. Cunningham, .E. Williams, .N. Cole, .A. Davis",NOP,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2015-03-17
"E. Gordon, .O. Asik, .D. Cunningham, .Q. Pondexter, .N. Cole",NOP,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2015-03-17
"E. Gordon, .O. Asik, .T. Evans, .D. Cunningham, .Q. Pondexter",NOP,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.58,50.0,2015-03-17
"E. Gordon, .T. Evans, .Q. Pondexter, .N. Cole, .A. Davis",NOP,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2015-03-17
"O. Asik, .T. Evans, .D. Cunningham, .Q. Pondexter, .A. Davis",NOP,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.45,0.0,2015-03-17
"E. Ilyasova, .J. Bayless, .J. Henson, .G. Antetokounmpo, .T. Ennis",MIL,1,6,83.3,107.7,-24.4,60.0,3.00,18.8,14.3,80.0,41.7,0.1,45.5,42.1,103.75,33.3,2015-03-17
"Z. Pachulia, .E. Ilyasova, .J. Bayless, .K. Middleton, .G. Antetokounmpo",MIL,1,6,107.7,83.3,24.4,50.0,2.00,11.1,42.9,85.7,64.3,0.1,36.4,51.3,101.69,71.8,2015-03-17
