lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"D. Nowitzki, .W. Matthews, .H. Barnes, .D. Smith Jr., .M. Kleber",DAL,1,10,119.0,90.0,29.0,45.5,5.00,17.9,22.2,100,56.3,0.0,57.5,58.6,99.90,66.7,2017-11-20
"D. Nowitzki, .D. Harris, .J. Barea, .D. Powell, .Y. Ferrell",DAL,1,8,68.8,46.7,22.1,40.0,0.67,10.5,11.1,87.5,47.1,0.2,39.3,39.3,97.94,65.2,2017-11-20
"D. Nowitzki, .J. Barea, .W. Matthews, .H. Barnes, .Y. Ferrell",DAL,1,8,62.5,129.4,-66.9,25.0,0.50,5.9,0.0,87.5,41.2,0.1,30.8,36.0,99.04,14.9,2017-11-20
"W. Matthews, .H. Barnes, .S. Mejri, .Y. Ferrell, .D. Smith Jr",DAL,1,6,115.4,69.2,46.2,80.0,4.00,22.2,14.3,77.8,50.0,0.1,54.5,58.8,104.29,86.2,2017-11-20
"D. Harris, .J. Barea, .W. Matthews, .H. Barnes, .D. Powell",DAL,1,3,116.7,216.7,-100.0,66.7,0.00,25.0,0.0,0.0,0.0,0.0,58.3,58.3,99.31,25.5,2017-11-20
"D. Nowitzki, .J. Barea, .W. Matthews, .D. Powell, .Y. Ferrell",DAL,1,3,150.0,60.0,90.0,0.0,0.00,0.0,66.7,100,80.0,0.0,50.0,50.0,78.07,83.3,2017-11-20
"J. Barea, .W. Matthews, .H. Barnes, .D. Powell, .Y. Ferrell",DAL,1,3,80.0,83.3,-3.3,100,1.00,16.7,0.0,100,50.0,0.2,33.3,46.3,97.78,42.9,2017-11-20
"W. Matthews, .H. Barnes, .Y. Ferrell, .D. Smith Jr., .M. Kleber",DAL,1,3,33.3,150.0,-116.7,0.0,0.00,0.0,20.0,100,42.9,0.0,16.7,16.7,99.31,-4.2,2017-11-20
"D. Harris, .H. Barnes, .D. Powell, .Y. Ferrell, .M. Kleber",DAL,1,2,60.0,100.0,-40.0,0.0,0.00,0.0,0.0,100,50.0,0.2,0.0,45.2,121.85,-20.0,2017-11-20
"D. Nowitzki, .J. Barea, .W. Matthews, .D. Powell, .D. Smith Jr",DAL,1,2,200.0,40.0,160.0,66.7,0.00,33.3,0.0,100,66.7,0.0,100,100,116.76,110.0,2017-11-20
"D. Nowitzki, .W. Matthews, .H. Barnes, .Y. Ferrell, .D. Smith Jr",DAL,1,2,116.7,175.0,-58.3,33.3,1.00,12.5,33.3,0.0,25.0,0.2,50.0,54.3,102.20,33.3,2017-11-20
"W. Matthews, .H. Barnes, .D. Powell, .Y. Ferrell, .D. Smith Jr",DAL,1,2,33.3,128.6,-95.2,0.0,0.00,0.0,0.0,0.0,0.0,0.2,0.0,25.8,127.00,-50.0,2017-11-20
"J. Barea, .W. Matthews, .H. Barnes, .D. Powell, .D. Smith Jr",DAL,1,1,0.0,0.0,0.0,0.0,0.00,0.0,0.0,100,100,0.0,0.0,0.0,92.90,0.0,2017-11-20
"J. Barea, .W. Matthews, .H. Barnes, .S. Mejri, .D. Smith Jr",DAL,1,1,0.0,0.0,0.0,0.0,0.00,0.0,0.0,100,50.0,0.0,0.0,0.0,90.00,100,2017-11-20
"D. Harris, .J. Barea, .W. Matthews, .H. Barnes, .Y. Ferrell",DAL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2017-11-20
"D. Harris, .W. Matthews, .D. Powell, .Y. Ferrell, .D. Smith Jr",DAL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.77,0.0,2017-11-20
"D. Harris, .W. Matthews, .H. Barnes, .D. Powell, .Y. Ferrell",DAL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,50.0,50.0,0.0,0.0,0.0,192.00,-200.0,2017-11-20
"D. Harris, .W. Matthews, .H. Barnes, .N. Noel, .S. Mejri",DAL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,600.00",0.0,2017-11-20
"D. Nowitzki, .D. Harris, .D. Powell, .Y. Ferrell, .M. Kleber",DAL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2017-11-20
"D. Nowitzki, .D. Harris, .J. Barea, .H. Barnes, .D. Powell",DAL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2017-11-20
"D. Nowitzki, .D. Harris, .J. Barea, .W. Matthews, .H. Barnes",DAL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2017-11-20
"D. Nowitzki, .D. Harris, .W. Matthews, .D. Powell, .Y. Ferrell",DAL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2017-11-20
"D. Nowitzki, .D. Harris, .W. Matthews, .H. Barnes, .N. Noel",DAL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2017-11-20
"W. Matthews, .H. Barnes, .D. Powell, .Y. Ferrell, .M. Kleber",DAL,1,0,200.0,0.0,200.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,113.6,110.77,200.0,2017-11-20
"A. Horford, .K. Irving, .M. Morris, .J. Brown, .J. Tatum",BOS,1,13,103.8,103.8,0.0,55.6,0.83,16.1,0.0,78.6,47.8,0.2,58.3,65.4,97.88,51.0,2017-11-20
"A. Horford, .K. Irving, .M. Smart, .J. Brown, .J. Tatum",BOS,1,9,116.7,80.0,36.7,50.0,2.50,15.6,27.3,100,60.0,0.1,60.5,63.4,111.82,75.9,2017-11-20
"M. Smart, .T. Rozier, .J. Tatum, .S. Ojeleye, .D. Theis",BOS,1,4,62.5,100.0,-37.5,0.0,0.00,0.0,0.0,100,57.1,0.1,40.0,42.5,105.21,0.0,2017-11-20
"A. Horford, .K. Irving, .A. Baynes, .M. Smart, .J. Brown",BOS,1,3,216.7,116.7,100.0,75.0,3.00,33.3,0.0,100,100,0.2,137.5,133.2,99.31,74.5,2017-11-20
"A. Horford, .K. Irving, .M. Morris, .M. Smart, .J. Tatum",BOS,1,3,200.0,50.0,150.0,60.0,0.00,27.3,66.7,100,83.3,0.0,68.8,71.1,100.47,94.1,2017-11-20
"A. Horford, .S. Larkin, .M. Smart, .T. Rozier, .J. Brown",BOS,1,3,75.0,150.0,-75.0,100,1.00,20.0,0.0,33.3,20.0,0.3,50.0,50.0,71.55,14.3,2017-11-20
"K. Irving, .M. Smart, .J. Brown, .S. Ojeleye, .D. Theis",BOS,1,3,33.3,66.7,-33.3,100,1.00,14.3,0.0,100,50.0,0.2,25.0,25.0,111.63,42.9,2017-11-20
"A. Horford, .K. Irving, .M. Morris, .M. Smart, .J. Brown",BOS,1,2,50.0,100.0,-50.0,100,0.00,20.0,0.0,100,33.3,0.0,50.0,34.7,105.00,0.0,2017-11-20
"A. Horford, .M. Smart, .T. Rozier, .J. Tatum, .S. Ojeleye",BOS,1,2,50.0,100.0,-50.0,100,0.00,20.0,0.0,50.0,25.0,0.0,33.3,33.3,93.66,46.2,2017-11-20
"K. Irving, .A. Baynes, .M. Smart, .J. Tatum, .S. Ojeleye",BOS,1,2,100.0,60.0,40.0,100,0.00,14.3,0.0,100,50.0,0.0,33.3,63.0,121.85,120.0,2017-11-20
"K. Irving, .M. Morris, .A. Baynes, .J. Brown, .J. Tatum",BOS,1,2,66.7,80.0,-13.3,0.0,0.00,0.0,0.0,100,100,0.7,0.0,113.6,120.00,100,2017-11-20
"K. Irving, .M. Morris, .A. Baynes, .M. Smart, .J. Brown",BOS,1,2,100.0,100.0,0.0,100,0.00,25.0,0.0,100,50.0,0.0,50.0,50.0,107.23,16.7,2017-11-20
"A. Horford, .K. Irving, .M. Morris, .A. Baynes, .A. Nader",BOS,1,1,66.7,166.7,-100.0,100,1.00,25.0,0.0,50.0,50.0,0.3,100,100,120.00,35.3,2017-11-20
"A. Horford, .M. Morris, .A. Baynes, .T. Rozier, .A. Nader",BOS,1,1,100.0,100.0,0.0,100,0.00,25.0,0.0,100,33.3,0.0,50.0,50.0,109.37,40.0,2017-11-20
"A. Horford, .M. Morris, .M. Smart, .J. Brown, .J. Tatum",BOS,1,1,0.0,0.0,0.0,0.0,0.00,0.0,0.0,66.7,66.7,0.0,0.0,0.0,75.00,-66.7,2017-11-20
"A. Horford, .M. Smart, .T. Rozier, .J. Brown, .S. Ojeleye",BOS,1,1,0.0,150.0,-150.0,0.0,0.00,0.0,50.0,100,66.7,0.3,0.0,0.0,96.00,-300.0,2017-11-20
"M. Morris, .A. Baynes, .M. Smart, .T. Rozier, .J. Tatum",BOS,1,1,0.0,0.0,0.0,0.0,0.00,0.0,25.0,100,50.0,0.0,0.0,0.0,102.86,71.4,2017-11-20
"M. Morris, .A. Baynes, .T. Rozier, .A. Nader, .J. Tatum",BOS,1,1,0.0,66.7,-66.7,0.0,0.00,0.0,0.0,100,50.0,0.0,0.0,0.0,96.00,0.0,2017-11-20
"A. Baynes, .M. Smart, .T. Rozier, .J. Tatum, .S. Ojeleye",BOS,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2017-11-20
