lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"F. Elson, .R. Jefferson, .C. Villanueva, .R. Sessions, .L. Mbah a Moute",MIL,1,11,90.9,95.5,-4.5,75.0,1.50,20.0,20.0,42.9,29.4,0.2,44.4,49.5,97.48,46.7,2009-03-15
"M. Allen, .C. Bell, .L. Ridnour, .K. Bogans, .C. Villanueva",MIL,1,6,109.1,54.5,54.5,50.0,2.00,11.8,50.0,100,69.2,0.1,33.3,43.6,81.86,125.0,2009-03-15
"F. Elson, .C. Bell, .L. Ridnour, .K. Bogans, .J. Alexander",MIL,1,4,85.7,85.7,0.0,66.7,1.00,22.2,0.0,100,50.0,0.3,60.0,60.0,92.05,73.3,2009-03-15
"F. Elson, .R. Jefferson, .C. Bell, .L. Ridnour, .K. Bogans",MIL,1,3,25.0,100.0,-75.0,0.0,0.00,0.0,75.0,66.7,71.4,0.5,0.0,10.2,75.79,-200.0,2009-03-15
"F. Elson, .R. Jefferson, .C. Bell, .R. Sessions, .L. Mbah a Moute",MIL,1,3,133.3,50.0,83.3,50.0,1.00,12.5,50.0,40.0,42.9,0.2,50.0,69.4,95.47,700.0,2009-03-15
"F. Elson, .R. Jefferson, .L. Ridnour, .C. Villanueva, .R. Sessions",MIL,1,2,80.0,33.3,46.7,50.0,1.00,12.5,50.0,50.0,50.0,0.2,33.3,33.3,113.14,66.7,2009-03-15
"M. Allen, .C. Bell, .L. Ridnour, .K. Bogans, .L. Mbah a Moute",MIL,1,2,125.0,150.0,-25.0,50.0,0.00,11.1,80.0,0.0,57.1,0.0,35.7,35.7,82.88,28.6,2009-03-15
"M. Allen, .R. Jefferson, .C. Bell, .R. Sessions, .L. Mbah a Moute",MIL,1,2,66.7,50.0,16.7,100,0.50,20.0,100,0.0,25.0,0.7,50.0,50.0,102.86,80.0,2009-03-15
"M. Allen, .R. Jefferson, .L. Ridnour, .R. Sessions, .L. Mbah a Moute",MIL,1,2,100.0,40.0,60.0,0.0,0.00,0.0,0.0,75.0,60.0,0.3,50.0,60.2,108.00,-600.0,2009-03-15
"R. Jefferson, .C. Bell, .L. Ridnour, .J. Alexander, .L. Mbah a Moute",MIL,1,2,175.0,66.7,108.3,100,0.00,33.3,0.0,100,66.7,0.0,83.3,90.2,92.56,85.7,2009-03-15
