lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"D. Booker, .D. Bender, .J. Jackson, .M. Bridges, .D. Ayton",PHX,1,11,119.0,140.0,-21.0,70.0,1.40,23.3,28.6,46.2,40.0,0.2,64.7,68.2,87.34,47.8,2019-03-21
"T. Daniels, .D. Bender, .M. Bridges, .D. Melton, .D. Ayton",PHX,1,6,111.1,111.1,0.0,80.0,0.00,30.8,0.0,42.9,27.3,0.0,55.6,55.6,73.59,62.5,2019-03-21
"R. Holmes, .D. Booker, .J. Jackson, .M. Bridges, .R. Spalding",PHX,1,4,120.0,44.4,75.6,50.0,0.00,8.3,25.0,83.3,60.0,0.0,50.0,63.0,130.29,169.2,2019-03-21
"T. Daniels, .R. Holmes, .D. Booker, .D. Melton, .R. Spalding",PHX,1,4,87.5,112.5,-25.0,50.0,1.00,10.0,20.0,100,42.9,0.1,35.7,44.4,101.05,25.0,2019-03-21
"J. Crawford, .D. Booker, .D. Bender, .M. Bridges, .D. Ayton",PHX,1,3,25.0,185.7,-160.7,0.0,0.00,0.0,0.0,50.0,16.7,0.3,20.0,20.0,121.35,-63.2,2019-03-21
"J. Crawford, .R. Holmes, .D. Bender, .J. Jackson, .M. Bridges",PHX,1,2,0.0,50.0,-50.0,0.0,0.00,0.0,0.0,40.0,28.6,0.5,0.0,0.0,92.16,-300.0,2019-03-21
"J. Crawford, .R. Holmes, .D. Booker, .D. Bender, .J. Jackson",PHX,1,2,0.0,100.0,-100.0,0.0,0.00,0.0,0.0,100,50.0,0.5,0.0,0.0,123.87,-100.0,2019-03-21
"J. Crawford, .T. Daniels, .M. Bridges, .D. Melton, .D. Ayton",PHX,1,2,250.0,200.0,50.0,75.0,0.00,37.5,100,100,100,0.0,90.0,91.9,92.57,58.1,2019-03-21
"J. Crawford, .T. Daniels, .R. Holmes, .D. Bender, .M. Bridges",PHX,1,2,80.0,100.0,-20.0,50.0,0.50,16.7,0.0,100,66.7,0.4,66.7,66.7,108.49,33.3,2019-03-21
"R. Holmes, .D. Booker, .J. Jackson, .M. Bridges, .D. Melton",PHX,1,2,133.3,25.0,108.3,100,0.00,16.7,66.7,75.0,71.4,0.0,37.5,41.0,98.82,400.0,2019-03-21
"T. Daniels, .R. Holmes, .D. Booker, .D. Bender, .D. Melton",PHX,1,2,150.0,100.0,50.0,0.0,0.00,0.0,0.0,0.0,0.0,0.3,100,104.2,92.16,111.1,2019-03-21
"D. Booker, .J. Jackson, .M. Bridges, .D. Melton, .D. Ayton",PHX,1,1,0.0,150.0,-150.0,0.0,0.00,0.0,100,0.0,100,1.0,0.0,0.0,140.49,-125.0,2019-03-21
"J. Crawford, .D. Bender, .J. Jackson, .M. Bridges, .D. Ayton",PHX,1,1,200.0,50.0,150.0,100,0.00,50.0,0.0,100,100,0.0,100,100,127.06,200.0,2019-03-21
"J. Crawford, .J. Jackson, .M. Bridges, .D. Melton, .D. Ayton",PHX,1,1,200.0,300.0,-100.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,90.9,96.00,66.7,2019-03-21
"J. Crawford, .T. Daniels, .D. Booker, .D. Bender, .M. Bridges",PHX,1,1,75.0,66.7,8.3,100,1.00,20.0,0.0,100,50.0,0.3,50.0,52.1,119.71,75.0,2019-03-21
"J. Crawford, .T. Daniels, .R. Holmes, .M. Bridges, .D. Melton",PHX,1,1,0.0,150.0,-150.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.67,-233.3,2019-03-21
"R. Holmes, .D. Booker, .D. Bender, .J. Jackson, .D. Melton",PHX,1,1,200.0,250.0,-50.0,50.0,0.00,33.3,0.0,0.0,0.0,0.0,100,100,81.13,50.0,2019-03-21
"T. Daniels, .D. Bender, .M. Bridges, .D. Melton, .R. Spalding",PHX,1,1,100.0,100.0,0.0,100,0.00,33.3,0.0,0.0,0.0,0.0,100,100,131.51,60.0,2019-03-21
"T. Daniels, .R. Holmes, .D. Booker, .M. Bridges, .D. Melton",PHX,1,1,100.0,66.7,33.3,0.0,0.00,0.0,100,66.7,75.0,0.3,50.0,61.5,120.00,120.0,2019-03-21
"J. Crawford, .R. Holmes, .D. Bender, .M. Bridges, .D. Ayton",PHX,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-03-21
"J. Crawford, .T. Daniels, .D. Bender, .M. Bridges, .D. Ayton",PHX,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-03-21
"J. Crawford, .T. Daniels, .D. Booker, .D. Ayton, .R. Spalding",PHX,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-03-21
"J. Crawford, .T. Daniels, .D. Booker, .M. Bridges, .D. Ayton",PHX,1,0,0.0,200.0,-200.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.43,-200.0,2019-03-21
"J. Crawford, .T. Daniels, .R. Holmes, .D. Booker, .R. Spalding",PHX,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-03-21
"R. Holmes, .D. Booker, .D. Bender, .J. Jackson, .D. Ayton",PHX,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-03-21
"B. Griffin, .W. Ellington, .R. Jackson, .A. Drummond, .B. Brown",DET,1,14,125.0,134.5,-9.5,66.7,1.33,18.6,46.7,77.8,58.3,0.2,61.5,62.1,95.78,39.0,2019-03-21
"I. Smith, .A. Drummond, .L. Galloway, .T. Maker, .L. Kennard",DET,1,6,126.7,64.3,62.4,33.3,2.00,10.5,33.3,80.0,54.5,0.1,50.0,59.5,112.86,103.0,2019-03-21
"W. Ellington, .I. Smith, .A. Drummond, .T. Maker, .L. Kennard",DET,1,6,109.1,100.0,9.1,40.0,2.00,11.8,50.0,100,69.2,0.1,50.0,50.0,79.96,45.7,2019-03-21
"B. Griffin, .W. Ellington, .R. Jackson, .L. Galloway, .T. Maker",DET,1,4,120.0,111.1,8.9,50.0,1.00,9.1,0.0,80.0,50.0,0.1,50.0,70.4,106.46,59.4,2019-03-21
"B. Griffin, .W. Ellington, .R. Jackson, .T. Maker, .B. Brown",DET,1,4,62.5,12.5,50.0,100,2.00,16.7,28.6,42.9,35.7,0.1,27.8,27.8,107.16,-120.0,2019-03-21
"Z. Pachulia, .I. Smith, .L. Galloway, .T. Maker, .L. Kennard",DET,1,4,228.6,175.0,53.6,80.0,0.00,30.8,66.7,66.7,66.7,0.0,87.5,90.1,90.38,56.4,2019-03-21
"B. Griffin, .I. Smith, .A. Drummond, .L. Galloway, .L. Kennard",DET,1,3,100.0,80.0,20.0,66.7,1.00,13.3,100,0.0,100,0.3,33.3,33.3,92.09,58.3,2019-03-21
"B. Griffin, .I. Smith, .L. Galloway, .T. Maker, .L. Kennard",DET,1,3,55.6,71.4,-15.9,100,1.00,8.3,33.3,100,60.0,0.1,16.7,32.2,112.94,38.5,2019-03-21
"B. Griffin, .W. Ellington, .I. Smith, .A. Drummond, .L. Galloway",DET,1,1,100.0,200.0,-100.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,56.8,112.94,-100.0,2019-03-21
"B. Griffin, .W. Ellington, .R. Jackson, .A. Drummond, .L. Kennard",DET,1,1,133.3,0.0,133.3,0.0,0.00,0.0,0.0,100,100,0.3,150.0,106.4,140.00,250.0,2019-03-21
"W. Ellington, .I. Smith, .G. Robinson III, .T. Maker, .L. Kennard",DET,1,1,100.0,100.0,0.0,100,1.00,33.3,0.0,0.0,0.0,0.5,100,100,131.51,40.0,2019-03-21
"B. Griffin, .R. Jackson, .A. Drummond, .L. Galloway, .L. Kennard",DET,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.14,0.0,2019-03-21
"B. Griffin, .W. Ellington, .I. Smith, .A. Drummond, .B. Brown",DET,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-03-21
"B. Griffin, .W. Ellington, .L. Galloway, .T. Maker, .L. Kennard",DET,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-03-21
"N. Bjelica, .H. Barnes, .W. Cauley-Stein, .B. Hield, .D. Fox",SAC,1,19,117.9,76.9,41.0,72.2,6.50,24.1,10.5,83.3,51.2,0.1,61.8,62.0,100.11,73.9,2019-03-21
"C. Brewer, .B. Bogdanovic, .Y. Ferrell, .H. Giles III, .M. Bagley III",SAC,1,5,90.9,136.4,-45.5,0.0,0.00,0.0,60.0,100,80.0,0.2,28.6,51.9,102.19,38.9,2019-03-21
"H. Barnes, .B. Bogdanovic, .W. Cauley-Stein, .Y. Ferrell, .M. Bagley III",SAC,1,3,114.3,128.6,-14.3,66.7,2.00,20.0,33.3,100,71.4,0.1,80.0,68.0,108.39,51.4,2019-03-21
"N. Bjelica, .B. Bogdanovic, .B. Hield, .Y. Ferrell, .M. Bagley III",SAC,1,3,140.0,120.0,20.0,33.3,1.00,14.3,50.0,50.0,50.0,0.2,60.0,64.3,90.00,100,2019-03-21
"N. Bjelica, .H. Barnes, .B. Hield, .D. Fox, .M. Bagley III",SAC,1,3,125.0,100.0,25.0,25.0,0.50,8.3,75.0,50.0,62.5,0.3,50.0,56.3,127.50,50.0,2019-03-21
"B. Bogdanovic, .W. Cauley-Stein, .B. Hield, .D. Fox, .M. Bagley III",SAC,1,2,100.0,100.0,0.0,50.0,0.00,12.5,60.0,100,71.4,0.0,28.6,28.6,100.80,53.3,2019-03-21
"C. Brewer, .B. Bogdanovic, .W. Cauley-Stein, .Y. Ferrell, .M. Bagley III",SAC,1,2,50.0,100.0,-50.0,0.0,0.00,0.0,0.0,75.0,37.5,0.0,30.0,30.0,108.49,13.3,2019-03-21
"H. Barnes, .B. Bogdanovic, .W. Cauley-Stein, .D. Fox, .M. Bagley III",SAC,1,2,50.0,100.0,-50.0,100,1.00,20.0,0.0,50.0,25.0,0.3,50.0,50.0,120.00,31.3,2019-03-21
"H. Barnes, .B. Hield, .D. Fox, .H. Giles III, .M. Bagley III",SAC,1,2,100.0,133.3,-33.3,0.0,0.00,0.0,50.0,50.0,50.0,0.3,50.0,50.0,74.12,33.3,2019-03-21
"H. Barnes, .W. Cauley-Stein, .B. Hield, .D. Fox, .M. Bagley III",SAC,1,2,200.0,60.0,140.0,100,0.00,28.6,50.0,100,80.0,0.0,75.0,82.0,116.76,104.8,2019-03-21
"N. Bjelica, .B. Bogdanovic, .B. Hield, .D. Fox, .M. Bagley III",SAC,1,2,180.0,150.0,30.0,100,2.00,28.6,0.0,33.3,25.0,0.2,150.0,119.7,91.27,65.5,2019-03-21
"H. Barnes, .B. Bogdanovic, .W. Cauley-Stein, .B. Hield, .D. Fox",SAC,1,1,100.0,200.0,-100.0,100,0.00,25.0,0.0,0.0,0.0,0.0,50.0,52.1,104.35,28.6,2019-03-21
"H. Barnes, .W. Cauley-Stein, .B. Hield, .Y. Ferrell, .M. Bagley III",SAC,1,1,0.0,50.0,-50.0,0.0,0.00,0.0,0.0,100,50.0,0.3,0.0,0.0,129.44,0.0,2019-03-21
"C. Brewer, .B. Bogdanovic, .W. Cauley-Stein, .D. Fox, .M. Bagley III",SAC,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-03-21
"H. Barnes, .B. Bogdanovic, .D. Fox, .H. Giles III, .M. Bagley III",SAC,1,0,200.0,0.0,200.0,0.0,0.00,0.0,0.0,100,100,0.0,0.0,113.6,137.14,300.0,2019-03-21
"H. Barnes, .B. Bogdanovic, .Y. Ferrell, .H. Giles III, .M. Bagley III",SAC,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-03-21
"N. Bjelica, .H. Barnes, .B. Hield, .D. Fox, .H. Giles III",SAC,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-03-21
"D. Powell, .J. Jackson, .M. Kleber, .J. Brunson, .L. Doncic",DAL,1,13,89.3,121.4,-32.1,50.0,1.00,11.4,21.4,84.6,51.9,0.1,42.9,51.0,106.25,36.1,2019-03-21
"S. Mejri, .J. Jackson, .M. Kleber, .J. Brunson, .L. Doncic",DAL,1,5,54.5,107.7,-53.1,100,1.50,20.0,14.3,62.5,40.0,0.2,30.0,28.7,111.48,15.2,2019-03-21
"D. Nowitzki, .D. Harris, .T. Burke, .D. Powell, .D. Finney-Smith",DAL,1,4,114.3,100.0,14.3,66.7,0.00,20.0,20.0,75.0,44.4,0.0,50.0,50.0,86.15,56.5,2019-03-21
"D. Harris, .T. Burke, .J. Jackson, .M. Kleber, .R. Broekhoff",DAL,1,3,157.1,71.4,85.7,50.0,0.00,20.0,33.3,100,66.7,0.0,57.1,66.1,99.31,82.1,2019-03-21
