lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"D. Gooden, .E. Ilyasova, .M. Ellis, .L. Mbah a Moute, .B. Jennings",MIL,1,21,100.0,83.3,16.7,52.9,1.29,15.8,26.1,66.7,45.5,0.2,46.2,49.4,97.00,62.2,2012-03-31
"M. Dunleavy, .D. Gooden, .E. Ilyasova, .M. Ellis, .B. Jennings",MIL,1,8,86.7,85.7,1.0,66.7,1.00,11.8,0.0,66.7,40.0,0.1,33.3,51.9,86.64,67.6,2012-03-31
"M. Dunleavy, .D. Gooden, .B. Udrih, .E. Ilyasova, .B. Jennings",MIL,1,5,111.1,118.2,-7.1,100,4.00,28.6,20.0,50.0,36.4,0.1,56.3,56.3,91.14,55.3,2012-03-31
"E. Ilyasova, .M. Ellis, .L. Mbah a Moute, .B. Jennings, .E. Udoh",MIL,1,3,180.0,50.0,130.0,66.7,0.00,25.0,50.0,66.7,62.5,0.0,70.0,71.2,123.08,126.3,2012-03-31
"M. Dunleavy, .S. Livingston, .B. Udrih, .E. Udoh, .L. Sanders",MIL,1,3,85.7,216.7,-131.0,33.3,0.50,11.1,33.3,33.3,33.3,0.3,50.0,50.0,93.13,10.3,2012-03-31
"M. Dunleavy, .B. Udrih, .E. Ilyasova, .M. Ellis, .E. Udoh",MIL,1,2,0.0,50.0,-50.0,0.0,0.00,0.0,0.0,100,33.3,0.0,0.0,0.0,106.67,-133.3,2012-03-31
"M. Dunleavy, .D. Gooden, .S. Livingston, .B. Udrih, .E. Ilyasova",MIL,1,2,83.3,100.0,-16.7,100,0.50,12.5,50.0,0.0,33.3,0.3,50.0,57.9,120.84,33.3,2012-03-31
"B. Udrih, .E. Ilyasova, .M. Ellis, .L. Mbah a Moute, .E. Udoh",MIL,1,1,0.0,100.0,-100.0,0.0,0.00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,96.00,80.0,2012-03-31
"M. Dunleavy, .B. Udrih, .M. Ellis, .L. Mbah a Moute, .E. Udoh",MIL,1,1,0.0,150.0,-150.0,0.0,0.00,0.0,0.0,100,25.0,0.0,0.0,0.0,124.44,-100.0,2012-03-31
"M. Dunleavy, .D. Gooden, .S. Livingston, .E. Ilyasova, .B. Jennings",MIL,1,1,100.0,200.0,-100.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,50.0,50.0,88.62,0.0,2012-03-31
