lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"T. Chandler, .P. Tucker, .E. Bledsoe, .B. Knight, .M. Morris",PHX,1,23,93.6,112.5,-18.9,33.3,0.86,9.7,34.6,86.7,53.7,0.1,43.2,46.7,97.55,35.8,2015-11-18
"P. Tucker, .E. Bledsoe, .J. Leuer, .A. Len, .A. Goodwin",PHX,1,3,33.3,133.3,-100.0,100,0.00,14.3,20.0,100,33.3,0.0,20.0,17.0,96.00,-42.9,2015-11-18
"R. Price, .B. Knight, .M. Teletovic, .A. Len, .D. Booker",PHX,1,3,75.0,80.0,-5.0,100,1.00,16.7,33.3,40.0,37.5,0.3,37.5,37.5,84.16,75.0,2015-11-18
"R. Price, .E. Bledsoe, .M. Teletovic, .A. Len, .D. Booker",PHX,1,3,114.3,66.7,47.6,66.7,2.00,20.0,25.0,40.0,33.3,0.1,66.7,66.7,105.76,90.5,2015-11-18
"T. Chandler, .E. Bledsoe, .B. Knight, .M. Teletovic, .D. Booker",PHX,1,3,162.5,50.0,112.5,40.0,2.00,20.0,0.0,71.4,62.5,0.1,91.7,94.5,114.06,112.1,2015-11-18
"B. Knight, .J. Leuer, .A. Len, .A. Goodwin, .D. Booker",PHX,1,2,100.0,66.7,33.3,0.0,0.00,0.0,50.0,100,60.0,0.0,20.0,34.0,88.42,100,2015-11-18
"P. Tucker, .E. Bledsoe, .B. Knight, .M. Morris, .A. Len",PHX,1,2,160.0,140.0,20.0,66.7,0.00,28.6,0.0,50.0,25.0,0.0,87.5,90.1,110.09,57.1,2015-11-18
"P. Tucker, .E. Bledsoe, .M. Morris, .A. Len, .A. Goodwin",PHX,1,2,100.0,75.0,25.0,0.0,0.00,0.0,0.0,100,33.3,0.0,50.0,50.0,108.68,60.0,2015-11-18
"T. Chandler, .R. Price, .B. Knight, .M. Teletovic, .D. Booker",PHX,1,2,80.0,80.0,0.0,100,1.00,16.7,0.0,0.0,0.0,0.2,33.3,51.5,114.29,55.6,2015-11-18
"P. Tucker, .B. Knight, .M. Teletovic, .A. Len, .D. Booker",PHX,1,1,66.7,100.0,-33.3,100,1.00,25.0,0.0,100,50.0,0.3,50.0,41.0,141.64,0.0,2015-11-18
"R. Price, .B. Knight, .J. Leuer, .A. Len, .D. Booker",PHX,1,1,50.0,150.0,-100.0,0.0,0.00,0.0,0.0,100,50.0,0.0,0.0,26.6,101.05,0.0,2015-11-18
"R. Price, .P. Tucker, .E. Bledsoe, .M. Teletovic, .A. Len",PHX,1,1,50.0,0.0,50.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,26.6,120.00,50.0,2015-11-18
"T. Chandler, .R. Price, .P. Tucker, .E. Bledsoe, .M. Morris",PHX,1,1,0.0,150.0,-150.0,0.0,0.00,0.0,33.3,0.0,25.0,0.0,0.0,0.0,69.40,0.0,2015-11-18
"P. Tucker, .E. Bledsoe, .B. Knight, .J. Leuer, .A. Len",PHX,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,100,100,0.0,0.0,0.0,351.22,300.0,2015-11-18
"P. Tucker, .E. Bledsoe, .B. Knight, .M. Teletovic, .A. Len",PHX,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2015-11-18
"R. Price, .P. Tucker, .E. Bledsoe, .M. Morris, .A. Len",PHX,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2015-11-18
"T. Chandler, .P. Tucker, .E. Bledsoe, .B. Knight, .M. Teletovic",PHX,1,0,150.0,100.0,50.0,0.0,0.00,0.0,50.0,0.0,50.0,0.0,50.0,50.0,233.20,27.3,2015-11-18
"T. Chandler, .R. Price, .B. Knight, .J. Leuer, .D. Booker",PHX,1,0,0.0,200.0,-200.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.00,-50.0,2015-11-18
"P. Gasol, .K. Hinrich, .N. Mirotic, .J. Butler, .T. Snell",CHI,1,12,119.2,81.5,37.7,71.4,2.50,27.0,12.5,75.0,50.0,0.2,68.2,67.7,102.03,73.6,2015-11-18
"J. Noah, .A. Brooks, .T. Gibson, .J. Butler, .D. McDermott",CHI,1,8,118.8,62.5,56.3,57.1,2.00,16.7,44.4,81.8,65.0,0.1,46.9,52.2,97.52,92.7,2015-11-18
"P. Gasol, .A. Brooks, .T. Gibson, .J. Butler, .D. McDermott",CHI,1,4,100.0,142.9,-42.9,75.0,0.00,25.0,25.0,100,50.0,0.0,50.0,50.0,96.86,41.5,2015-11-18
"P. Gasol, .K. Hinrich, .T. Gibson, .J. Butler, .D. McDermott",CHI,1,4,150.0,85.7,64.3,25.0,0.50,11.1,0.0,100,80.0,0.3,100,102.0,93.79,86.7,2015-11-18
"J. Noah, .A. Brooks, .T. Gibson, .E. Moore, .D. McDermott",CHI,1,3,116.7,83.3,33.3,50.0,1.00,14.3,0.0,66.7,50.0,0.2,62.5,71.7,91.43,75.0,2015-11-18
"J. Noah, .T. Gibson, .J. Butler, .E. Moore, .D. McDermott",CHI,1,3,33.3,150.0,-116.7,0.0,0.00,0.0,66.7,75.0,71.4,0.5,25.0,25.0,106.34,-18.8,2015-11-18
"K. Hinrich, .J. Noah, .T. Gibson, .J. Butler, .T. Snell",CHI,1,3,100.0,116.7,-16.7,66.7,2.00,20.0,33.3,100,66.7,0.1,58.3,58.3,96.10,48.1,2015-11-18
"P. Gasol, .K. Hinrich, .N. Mirotic, .J. Butler, .E. Moore",CHI,1,3,50.0,162.5,-112.5,0.0,0.00,0.0,28.6,100,37.5,0.1,12.5,22.5,111.84,-12.9,2015-11-18
"J. Noah, .A. Brooks, .N. Mirotic, .J. Butler, .D. McDermott",CHI,1,2,75.0,100.0,-25.0,100,1.00,20.0,0.0,100,66.7,0.3,75.0,75.0,108.68,40.0,2015-11-18
"P. Gasol, .A. Brooks, .T. Gibson, .E. Moore, .D. McDermott",CHI,1,2,100.0,80.0,20.0,0.0,0.00,0.0,100,100,100,0.5,66.7,66.7,106.23,36.4,2015-11-18
"J. Noah, .N. Mirotic, .J. Butler, .E. Moore, .T. Snell",CHI,1,1,150.0,0.0,150.0,100,1.00,25.0,100,100,100,0.5,75.0,75.0,86.40,166.7,2015-11-18
"P. Gasol, .A. Brooks, .N. Mirotic, .J. Butler, .T. Snell",CHI,1,1,0.0,66.7,-66.7,0.0,0.00,0.0,0.0,0.0,0.0,0.5,0.0,0.0,126.32,-300.0,2015-11-18
"P. Gasol, .N. Mirotic, .J. Butler, .E. Moore, .T. Snell",CHI,1,1,50.0,100.0,-50.0,0.0,0.00,0.0,0.0,12.5,12.5,0.5,0.0,113.6,66.98,40.0,2015-11-18
"J. Noah, .T. Gibson, .J. Butler, .E. Moore, .T. Snell",CHI,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2015-11-18
"K. Hinrich, .J. Noah, .N. Mirotic, .J. Butler, .D. McDermott",CHI,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.22,-200.0,2015-11-18
"K. Hinrich, .J. Noah, .T. Gibson, .J. Butler, .E. Moore",CHI,1,0,100.0,150.0,-50.0,100,0.00,33.3,0.0,50.0,50.0,0.0,100,100,233.20,72.7,2015-11-18
"K. Hinrich, .J. Noah, .T. Gibson, .N. Mirotic, .J. Butler",CHI,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2015-11-18
"K. Hinrich, .T. Gibson, .J. Butler, .E. Moore, .T. Snell",CHI,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2015-11-18
"P. Gasol, .K. Hinrich, .J. Butler, .E. Moore, .T. Snell",CHI,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2015-11-18
"P. Gasol, .K. Hinrich, .N. Mirotic, .J. Butler, .D. McDermott",CHI,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2015-11-18
"P. Gasol, .K. Hinrich, .T. Gibson, .J. Butler, .E. Moore",CHI,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2015-11-18
"P. Gasol, .T. Gibson, .J. Butler, .E. Moore, .D. McDermott",CHI,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2015-11-18
"T. Duncan, .T. Parker, .L. Aldridge, .D. Green, .K. Leonard",SAS,1,18,134.3,77.1,57.1,78.9,5.00,25.9,42.1,79.2,62.8,0.1,56.8,59.3,92.65,79.5,2015-11-18
"R. Butler, .D. West, .B. Diaw, .P. Mills, .K. Anderson",SAS,1,6,61.5,61.5,0.0,100,2.00,23.5,0.0,87.5,46.7,0.2,40.0,36.8,98.53,54.5,2015-11-18
"T. Duncan, .T. Parker, .L. Aldridge, .P. Mills, .K. Leonard",SAS,1,6,100.0,163.6,-63.6,50.0,2.00,15.4,0.0,66.7,28.6,0.1,50.0,56.4,93.12,27.6,2015-11-18
"R. Butler, .D. West, .B. Diaw, .D. Green, .P. Mills",SAS,1,5,133.3,118.2,15.2,66.7,2.00,25.0,33.3,57.1,50.0,0.2,72.2,77.5,113.81,66.7,2015-11-18
