lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"J. Magloire, .D. Wade, .U. Haslem, .Y. Diawara, .M. Chalmers",MIA,1,8,81.3,86.7,-5.4,50.0,2.00,10.5,11.1,87.5,47.1,0.1,33.3,44.4,95.18,56.7,2009-01-24
"D. Wade, .U. Haslem, .Y. Diawara, .J. Anthony, .M. Chalmers",MIA,1,7,125.0,158.3,-33.3,66.7,4.00,25.0,0.0,100,40.0,0.1,72.2,72.7,87.72,38.9,2009-01-24
"J. Magloire, .D. Wade, .U. Haslem, .D. Cook, .M. Chalmers",MIA,1,7,112.5,131.3,-18.8,42.9,0.00,15.0,12.5,83.3,42.9,0.0,53.6,54.1,104.73,33.3,2009-01-24
"M. Blount, .D. Wade, .U. Haslem, .D. Cook, .M. Chalmers",MIA,1,6,130.8,85.7,45.1,42.9,0.00,17.6,16.7,100,44.4,0.0,53.8,59.4,101.51,64.9,2009-01-24
"M. Blount, .C. Quinn, .Y. Diawara, .D. Cook, .M. Beasley",MIA,1,5,111.1,77.8,33.3,50.0,0.00,18.2,0.0,66.7,40.0,0.0,62.5,62.5,91.27,66.7,2009-01-24
"J. Magloire, .J. Jones, .C. Quinn, .D. Cook, .M. Beasley",MIA,1,3,133.3,60.0,73.3,0.0,0.00,0.0,33.3,100,60.0,0.0,25.0,60.2,78.42,166.7,2009-01-24
"M. Blount, .D. Wade, .D. Cook, .M. Beasley, .M. Chalmers",MIA,1,3,40.0,16.7,23.3,0.0,0.00,0.0,33.3,100,71.4,0.4,25.0,25.0,99.00,42.9,2009-01-24
"M. Blount, .D. Wade, .U. Haslem, .C. Quinn, .Y. Diawara",MIA,1,3,100.0,66.7,33.3,50.0,0.00,16.7,0.0,60.0,37.5,0.0,50.0,50.0,82.93,83.3,2009-01-24
"J. Magloire, .D. Wade, .D. Cook, .M. Beasley, .M. Chalmers",MIA,1,2,200.0,100.0,100.0,33.3,0.00,20.0,50.0,50.0,50.0,0.0,75.0,67.6,90.00,68.4,2009-01-24
"M. Blount, .J. Jones, .C. Quinn, .D. Cook, .M. Beasley",MIA,1,2,120.0,200.0,-80.0,0.0,0.00,0.0,0.0,100,33.3,0.0,50.0,61.5,102.13,24.2,2009-01-24
"J. Magloire, .C. Quinn, .Y. Diawara, .D. Cook, .M. Beasley",MIA,1,1,100.0,150.0,-50.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,43.1,72.00,100,2009-01-24
"J. Magloire, .D. Wade, .C. Quinn, .Y. Diawara, .M. Beasley",MIA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2009-01-24
"J. Magloire, .D. Wade, .C. Quinn, .Y. Diawara, .M. Chalmers",MIA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2009-01-24
"J. Magloire, .D. Wade, .U. Haslem, .C. Quinn, .Y. Diawara",MIA,1,0,100.0,0.0,100.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,56.8,120.00,100,2009-01-24
"M. Blount, .D. Wade, .C. Quinn, .D. Cook, .M. Beasley",MIA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2009-01-24
"M. Blount, .D. Wade, .C. Quinn, .Y. Diawara, .M. Beasley",MIA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2009-01-24
"R. Lewis, .H. Turkoglu, .D. Howard, .J. Nelson, .C. Lee",ORL,1,20,115.0,105.1,9.9,46.7,0.88,14.6,8.3,88.9,56.7,0.2,70.0,73.8,93.64,59.2,2009-01-24
"T. Battie, .A. Johnson, .H. Turkoglu, .D. Howard, .J. Redick",ORL,1,5,77.8,133.3,-55.6,66.7,1.00,16.7,25.0,60.0,44.4,0.2,50.0,50.0,85.83,7.7,2009-01-24
"R. Lewis, .B. Cook, .K. Bogans, .J. Nelson, .M. Gortat",ORL,1,4,85.7,114.3,-28.6,50.0,1.00,10.0,40.0,100,66.7,0.1,28.6,38.1,77.54,37.5,2009-01-24
"A. Johnson, .R. Lewis, .H. Turkoglu, .D. Howard, .C. Lee",ORL,1,3,160.0,50.0,110.0,66.7,0.00,28.6,0.0,100,75.0,0.0,87.5,82.0,75.35,140.0,2009-01-24
"H. Turkoglu, .B. Cook, .D. Howard, .J. Nelson, .C. Lee",ORL,1,3,142.9,133.3,9.5,25.0,0.50,12.5,0.0,100,66.7,0.3,80.0,85.0,91.32,53.8,2009-01-24
"A. Johnson, .R. Lewis, .D. Howard, .J. Redick, .C. Lee",ORL,1,2,66.7,180.0,-113.3,100,0.00,14.3,0.0,100,25.0,0.0,33.3,51.5,136.55,24.2,2009-01-24
"A. Johnson, .R. Lewis, .H. Turkoglu, .K. Bogans, .M. Gortat",ORL,1,2,0.0,160.0,-160.0,0.0,0.00,0.0,40.0,100,57.1,0.2,0.0,0.0,97.96,-46.7,2009-01-24
"R. Lewis, .D. Howard, .J. Nelson, .J. Redick, .C. Lee",ORL,1,2,66.7,66.7,0.0,0.0,0.00,0.0,50.0,66.7,60.0,0.0,0.0,26.6,88.16,0.0,2009-01-24
"R. Lewis, .H. Turkoglu, .J. Nelson, .M. Gortat, .J. Redick",ORL,1,2,200.0,150.0,50.0,100,0.00,40.0,0.0,100,50.0,0.0,100,100,101.82,53.8,2009-01-24
"T. Battie, .H. Turkoglu, .D. Howard, .J. Nelson, .C. Lee",ORL,1,2,100.0,100.0,0.0,50.0,0.00,20.0,0.0,100,50.0,0.0,50.0,50.0,97.63,55.6,2009-01-24
"A. Johnson, .R. Lewis, .H. Turkoglu, .M. Gortat, .J. Redick",ORL,1,1,200.0,100.0,100.0,0.0,0.00,0.0,0.0,100,100,0.0,100,106.4,106.67,100,2009-01-24
"H. Turkoglu, .B. Cook, .K. Bogans, .D. Howard, .J. Nelson",ORL,1,1,0.0,50.0,-50.0,0.0,0.00,0.0,0.0,100,50.0,0.0,0.0,0.0,120.00,100,2009-01-24
