lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"M. Bibby, .M. Evans, .J. Smith, .M. Williams, .A. Horford",ATL,1,15,84.0,96.0,-12.0,62.5,2.50,13.9,31.6,80.0,52.9,0.1,34.6,37.8,82.38,41.4,2010-12-11
"M. Bibby, .J. Crawford, .J. Smith, .D. Wilkins, .A. Horford",ATL,1,7,106.7,71.4,35.2,60.0,1.00,15.8,25.0,88.9,69.2,0.2,55.6,63.9,99.67,94.1,2010-12-11
"J. Crawford, .J. Powell, .J. Smith, .D. Wilkins, .J. Teague",ATL,1,6,133.3,62.5,70.8,100,2.50,23.8,25.0,85.7,63.6,0.1,62.5,75.3,121.01,102.2,2010-12-11
"J. Crawford, .Z. Pachulia, .M. Williams, .A. Horford, .J. Teague",ATL,1,6,110.0,127.3,-17.3,100,1.00,20.0,40.0,33.3,36.4,0.3,50.0,59.8,85.67,48.6,2010-12-11
"J. Crawford, .J. Powell, .D. Wilkins, .A. Horford, .J. Teague",ATL,1,3,55.6,88.9,-33.3,100,2.00,18.2,0.0,100,50.0,0.1,33.3,36.3,127.68,34.6,2010-12-11
"J. Crawford, .J. Collins, .D. Wilkins, .M. Williams, .A. Horford",ATL,1,2,133.3,0.0,133.3,100,0.00,33.3,50.0,100,75.0,0.0,50.0,50.0,112.00,162.5,2010-12-11
"J. Crawford, .J. Smith, .D. Wilkins, .A. Horford, .J. Teague",ATL,1,2,133.3,25.0,108.3,100,1.00,25.0,0.0,75.0,75.0,0.3,100,106.4,109.57,171.4,2010-12-11
"J. Crawford, .J. Smith, .D. Wilkins, .M. Williams, .A. Horford",ATL,1,2,50.0,166.7,-116.7,0.0,0.00,0.0,0.0,0.0,0.0,0.0,33.3,33.3,86.15,0.0,2010-12-11
"J. Crawford, .M. Evans, .M. Williams, .A. Horford, .J. Teague",ATL,1,2,200.0,133.3,66.7,50.0,0.00,33.3,0.0,0.0,0.0,0.0,100,100,80.00,50.0,2010-12-11
"M. Bibby, .J. Crawford, .J. Smith, .M. Williams, .A. Horford",ATL,1,2,200.0,133.3,66.7,66.7,0.00,33.3,0.0,100,50.0,0.0,87.5,90.1,80.64,71.4,2010-12-11
"J. Crawford, .J. Collins, .M. Evans, .M. Williams, .A. Horford",ATL,1,1,0.0,0.0,0.0,0.0,0.00,0.0,0.0,100,50.0,0.5,0.0,0.0,123.43,100,2010-12-11
"M. Bibby, .J. Crawford, .J. Powell, .J. Smith, .D. Wilkins",ATL,1,1,50.0,75.0,-25.0,100,1.00,20.0,0.0,100,33.3,0.3,50.0,50.0,133.80,20.0,2010-12-11
"J. Crawford, .D. Wilkins, .M. Williams, .A. Horford, .J. Teague",ATL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.00,100,2010-12-11
"J. Crawford, .J. Collins, .J. Powell, .D. Wilkins, .A. Horford",ATL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-12-11
"J. Crawford, .J. Collins, .J. Powell, .D. Wilkins, .J. Teague",ATL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,100,100,1.0,0.0,0.0,115.20,50.0,2010-12-11
"M. Bibby, .J. Collins, .M. Evans, .M. Williams, .A. Horford",ATL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-12-11
"M. Dunleavy, .D. Granger, .J. McRoberts, .R. Hibbert, .D. Collison",IND,1,15,76.9,100.0,-23.1,66.7,2.00,17.1,20.0,68.4,47.1,0.1,41.7,41.7,82.92,39.1,2010-12-11
"M. Dunleavy, .D. Granger, .B. Rush, .R. Hibbert, .A. Price",IND,1,9,123.5,100.0,23.5,62.5,1.67,21.7,16.7,83.3,50.0,0.2,64.3,68.5,95.81,64.1,2010-12-11
"J. Posey, .T. Ford, .D. Granger, .S. Jones, .B. Rush",IND,1,5,88.9,127.3,-38.4,66.7,0.00,18.2,0.0,75.0,33.3,0.0,37.5,45.0,88.07,33.3,2010-12-11
"J. Foster, .M. Dunleavy, .S. Jones, .B. Rush, .D. Collison",IND,1,3,150.0,114.3,35.7,100,1.50,27.3,100,100,100,0.3,80.0,76.5,89.78,50.0,2010-12-11
"J. Posey, .M. Dunleavy, .T. Ford, .S. Jones, .B. Rush",IND,1,3,85.7,116.7,-31.0,50.0,1.00,12.5,33.3,66.7,50.0,0.1,40.0,51.0,103.43,30.0,2010-12-11
"D. Granger, .B. Rush, .R. Hibbert, .T. Hansbrough, .D. Collison",IND,1,2,60.0,150.0,-90.0,0.0,0.00,0.0,25.0,0.0,25.0,0.2,0.0,28.2,98.93,-27.3,2010-12-11
"J. Posey, .M. Dunleavy, .B. Rush, .R. Hibbert, .A. Price",IND,1,2,50.0,100.0,-50.0,0.0,0.00,0.0,0.0,100,25.0,0.0,0.0,25.8,97.63,0.0,2010-12-11
"M. Dunleavy, .T. Ford, .D. Granger, .B. Rush, .R. Hibbert",IND,1,2,0.0,25.0,-25.0,0.0,0.00,0.0,0.0,100,50.0,0.3,0.0,0.0,126.59,400.0,2010-12-11
"M. Dunleavy, .T. Ford, .J. McRoberts, .B. Rush, .R. Hibbert",IND,1,2,100.0,60.0,40.0,50.0,1.00,16.7,0.0,100,50.0,0.2,62.5,62.5,130.91,61.5,2010-12-11
"J. Posey, .M. Dunleavy, .B. Rush, .R. Hibbert, .D. Collison",IND,1,1,0.0,100.0,-100.0,0.0,0.00,0.0,50.0,0.0,40.0,0.3,0.0,0.0,101.65,-300.0,2010-12-11
"J. Posey, .M. Dunleavy, .D. Granger, .S. Jones, .D. Collison",IND,1,1,100.0,0.0,100.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,53.2,123.43,200.0,2010-12-11
"J. Posey, .T. Ford, .D. Granger, .B. Rush, .R. Hibbert",IND,1,1,66.7,150.0,-83.3,0.0,0.00,0.0,0.0,100,50.0,0.3,50.0,50.0,148.24,0.0,2010-12-11
"M. Dunleavy, .S. Jones, .B. Rush, .T. Hansbrough, .D. Collison",IND,1,1,250.0,0.0,250.0,50.0,0.00,33.3,0.0,100,100,0.0,125.0,125.0,96.81,114.3,2010-12-11
"J. Posey, .D. Granger, .B. Rush, .R. Hibbert, .D. Collison",IND,1,0,0.0,200.0,-200.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.67,-200.0,2010-12-11
"J. Posey, .D. Granger, .S. Jones, .B. Rush, .D. Collison",IND,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-12-11
"J. Posey, .M. Dunleavy, .S. Jones, .B. Rush, .D. Collison",IND,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,200.0,2010-12-11
"J. Posey, .M. Dunleavy, .T. Ford, .J. McRoberts, .B. Rush",IND,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-12-11
"M. Dunleavy, .D. Granger, .R. Hibbert, .T. Hansbrough, .D. Collison",IND,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-12-11
"M. Dunleavy, .D. Granger, .S. Jones, .J. McRoberts, .D. Collison",IND,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-12-11
"M. Dunleavy, .J. McRoberts, .B. Rush, .R. Hibbert, .D. Collison",IND,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-12-11
"M. Dunleavy, .T. Ford, .J. McRoberts, .B. Rush, .D. Collison",IND,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-12-11
"M. Dunleavy, .T. Ford, .J. McRoberts, .R. Hibbert, .D. Collison",IND,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-12-11
"M. Dunleavy, .T. Ford, .S. Jones, .J. McRoberts, .B. Rush",IND,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.20,50.0,2010-12-11
"S. Jackson, .N. Mohammed, .G. Wallace, .B. Diaw, .D. Augustin",CHA,1,15,76.7,106.9,-30.2,80.0,1.60,19.0,29.4,56.3,42.4,0.2,40.0,41.6,96.00,31.1,2010-12-11
"S. Jackson, .K. Brown, .G. Wallace, .B. Diaw, .D. Augustin",CHA,1,10,57.9,84.2,-26.3,80.0,1.00,15.4,25.0,62.5,40.0,0.2,34.4,32.6,91.20,18.8,2010-12-11
"E. Najera, .K. Brown, .S. Livingston, .D. McGuire, .D. Brown",CHA,1,6,53.8,100.0,-46.2,50.0,0.17,6.3,33.3,100,63.6,0.5,28.6,38.0,111.10,10.0,2010-12-11
"E. Najera, .K. Brown, .G. Wallace, .S. Livingston, .D. Augustin",CHA,1,4,71.4,50.0,21.4,100,1.00,20.0,25.0,100,62.5,0.3,40.0,42.5,83.40,700.0,2010-12-11
"S. Jackson, .K. Brown, .B. Diaw, .S. Livingston, .D. McGuire",CHA,1,4,33.3,100.0,-66.7,0.0,0.00,0.0,0.0,60.0,37.5,0.3,25.0,25.0,85.87,-14.3,2010-12-11
"K. Brown, .G. Wallace, .M. Carroll, .S. Livingston, .D. McGuire",CHA,1,3,120.0,75.0,45.0,100,0.00,11.1,60.0,100,66.7,0.0,16.7,38.7,77.60,63.6,2010-12-11
"S. Jackson, .G. Wallace, .B. Diaw, .M. Carroll, .S. Livingston",CHA,1,3,33.3,200.0,-166.7,0.0,0.00,0.0,0.0,0.0,0.0,0.2,33.3,25.8,102.86,-24.0,2010-12-11
"N. Mohammed, .B. Diaw, .M. Carroll, .D. McGuire, .D. Augustin",CHA,1,2,100.0,100.0,0.0,50.0,1.00,20.0,0.0,100,66.7,0.3,66.7,66.7,96.81,40.0,2010-12-11
"G. Wallace, .B. Diaw, .M. Carroll, .D. McGuire, .D. Augustin",CHA,1,1,66.7,100.0,-33.3,0.0,0.00,0.0,0.0,0.0,0.0,0.3,0.0,53.2,104.05,0.0,2010-12-11
"G. Wallace, .B. Diaw, .M. Carroll, .S. Livingston, .D. McGuire",CHA,1,1,0.0,50.0,-50.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.00,200.0,2010-12-11
"G. Wallace, .M. Carroll, .S. Livingston, .D. McGuire, .D. Augustin",CHA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.28,0.0,2010-12-11
"K. Brown, .M. Carroll, .S. Livingston, .D. McGuire, .D. Brown",CHA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-12-11
"S. Jackson, .B. Diaw, .M. Carroll, .S. Livingston, .D. McGuire",CHA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-12-11
"S. Jackson, .E. Najera, .G. Wallace, .B. Diaw, .D. Augustin",CHA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.00,33.3,2010-12-11
"S. Jackson, .E. Najera, .G. Wallace, .S. Livingston, .D. Augustin",CHA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-12-11
"S. Jackson, .K. Brown, .B. Diaw, .D. McGuire, .D. Augustin",CHA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-12-11
"S. Jackson, .M. Carroll, .S. Livingston, .D. McGuire, .D. Brown",CHA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-12-11
"S. Jackson, .N. Mohammed, .B. Diaw, .D. McGuire, .D. Augustin",CHA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-12-11
"K. Garnett, .R. Allen, .P. Pierce, .R. Rondo, .S. Erden",BOS,1,16,100.0,80.0,20.0,72.7,1.14,17.8,43.8,68.8,56.3,0.2,44.2,50.8,90.38,64.4,2010-12-11
"M. Daniels, .N. Robinson, .V. Wafer, .G. Davis, .S. Erden",BOS,1,6,72.7,81.8,-9.1,66.7,0.67,15.4,0.0,57.1,40.0,0.3,58.3,58.1,90.77,53.3,2010-12-11
"R. Allen, .M. Daniels, .R. Rondo, .G. Davis, .S. Erden",BOS,1,6,108.3,66.7,41.7,33.3,1.00,7.1,16.7,100,50.0,0.1,38.9,55.8,93.20,82.4,2010-12-11
"K. Garnett, .R. Allen, .P. Pierce, .R. Rondo, .G. Davis",BOS,1,5,63.6,66.7,-3.0,66.7,0.67,14.3,20.0,87.5,61.5,0.3,37.5,41.5,100.98,57.1,2010-12-11
"P. Pierce, .M. Daniels, .N. Robinson, .G. Davis, .S. Erden",BOS,1,5,120.0,22.2,97.8,50.0,1.00,15.4,50.0,83.3,75.0,0.2,100,88.8,93.70,236.4,2010-12-11
"M. Daniels, .V. Wafer, .S. Erden, .A. Bradley, .L. Harangody",BOS,1,4,110.0,50.0,60.0,75.0,3.00,23.1,0.0,66.7,44.4,0.1,64.3,69.8,121.01,104.2,2010-12-11
"M. Daniels, .N. Robinson, .V. Wafer, .G. Davis, .L. Harangody",BOS,1,2,50.0,133.3,-83.3,100,0.00,20.0,0.0,0.0,0.0,0.0,25.0,22.5,96.92,-50.0,2010-12-11
"K. Garnett, .P. Pierce, .M. Daniels, .R. Rondo, .S. Erden",BOS,1,1,100.0,0.0,100.0,0.0,0.00,0.0,50.0,100,66.7,0.0,0.0,53.2,69.68,166.7,2010-12-11
