lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"R. Turiaf, .C. Watson, .A. Tolliver, .A. Morrow, .S. Curry",GSW,1,24,144.2,98.1,46.1,76.9,3.33,27.0,14.3,69.2,50.0,0.1,76.9,79.9,103.49,73.0,2010-02-10
"A. Biedrins, .C. Watson, .A. Tolliver, .A. Morrow, .S. Curry",GSW,1,10,177.8,94.7,83.0,66.7,8.00,28.6,40.0,80.0,66.7,0.1,87.5,83.9,91.55,75.3,2010-02-10
"C. Watson, .A. Tolliver, .A. Morrow, .C. Hunter, .S. Curry",GSW,1,9,94.4,129.4,-35.0,85.7,1.50,23.1,22.2,54.5,40.0,0.2,50.0,52.1,89.20,38.3,2010-02-10
"D. George, .A. Biedrins, .C. Watson, .A. Tolliver, .A. Morrow",GSW,1,2,40.0,140.0,-100.0,100,0.50,16.7,0.0,66.7,50.0,0.4,50.0,50.0,108.27,13.6,2010-02-10
"D. George, .A. Biedrins, .C. Watson, .A. Morrow, .S. Curry",GSW,1,1,133.3,75.0,58.3,50.0,0.00,16.7,66.7,100,80.0,0.0,40.0,40.0,120.00,75.0,2010-02-10
"D. George, .R. Turiaf, .C. Watson, .A. Morrow, .S. Curry",GSW,1,1,100.0,0.0,100.0,0.0,0.00,0.0,0.0,100,50.0,0.0,50.0,50.0,104.73,100,2010-02-10
"M. Camby, .B. Davis, .R. Butler, .C. Kaman, .E. Gordon",LAC,1,16,87.5,118.2,-30.7,63.6,2.33,17.1,11.8,76.5,44.1,0.1,42.6,46.5,100.00,37.7,2010-02-10
"R. Butler, .C. Smith, .A. Thornton, .D. Jordan, .B. Brown",LAC,1,5,90.0,118.2,-28.2,50.0,2.00,13.3,37.5,75.0,50.0,0.1,37.5,37.5,97.86,25.6,2010-02-10
"S. Novak, .C. Smith, .A. Thornton, .D. Jordan, .B. Brown",LAC,1,5,144.4,70.0,74.4,50.0,2.00,15.4,50.0,80.0,66.7,0.1,62.5,66.6,93.38,88.9,2010-02-10
"M. Camby, .B. Davis, .R. Butler, .C. Kaman, .A. Thornton",LAC,1,4,111.1,175.0,-63.9,100,3.00,23.1,25.0,100,40.0,0.1,42.9,57.1,94.88,35.8,2010-02-10
"M. Collins, .S. Novak, .A. Thornton, .E. Gordon, .D. Jordan",LAC,1,4,100.0,210.0,-110.0,25.0,0.50,7.1,40.0,0.0,40.0,0.2,44.4,53.3,119.06,8.8,2010-02-10
"C. Kaman, .C. Smith, .A. Thornton, .E. Gordon, .B. Brown",LAC,1,2,66.7,100.0,-33.3,100,0.00,25.0,0.0,0.0,0.0,0.0,33.3,33.3,88.16,33.3,2010-02-10
"C. Smith, .A. Thornton, .E. Gordon, .D. Jordan, .B. Brown",LAC,1,2,75.0,200.0,-125.0,0.0,0.00,0.0,33.3,100,50.0,0.0,33.3,38.7,94.21,0.0,2010-02-10
"M. Camby, .B. Davis, .R. Butler, .A. Thornton, .E. Gordon",LAC,1,2,140.0,40.0,100.0,100,0.00,25.0,33.3,100,50.0,0.0,50.0,59.5,108.27,86.4,2010-02-10
"M. Collins, .C. Smith, .A. Thornton, .E. Gordon, .D. Jordan",LAC,1,2,100.0,175.0,-75.0,0.0,0.00,0.0,50.0,0.0,50.0,0.0,33.3,38.7,98.82,5.3,2010-02-10
"R. Butler, .C. Kaman, .C. Smith, .A. Thornton, .B. Brown",LAC,1,2,233.3,125.0,108.3,100,0.00,40.0,0.0,100,100,0.0,125.0,121.5,83.31,64.3,2010-02-10
"C. Kaman, .M. Collins, .C. Smith, .A. Thornton, .E. Gordon",LAC,1,1,0.0,200.0,-200.0,0.0,0.00,0.0,0.0,0.0,0.0,0.5,0.0,0.0,128.00,-40.0,2010-02-10
"M. Camby, .B. Davis, .C. Kaman, .A. Thornton, .E. Gordon",LAC,1,1,100.0,150.0,-50.0,100,1.00,33.3,0.0,0.0,0.0,0.5,100,100,72.00,18.2,2010-02-10
"M. Camby, .B. Davis, .R. Butler, .A. Thornton, .D. Jordan",LAC,1,1,66.7,133.3,-66.7,0.0,0.00,0.0,66.7,0.0,66.7,0.3,25.0,25.0,125.22,-66.7,2010-02-10
"R. Butler, .M. Collins, .S. Novak, .E. Gordon, .D. Jordan",LAC,1,1,250.0,133.3,116.7,50.0,0.00,25.0,100,100,100,0.0,83.3,83.3,96.00,57.9,2010-02-10
"B. Davis, .R. Butler, .A. Thornton, .D. Jordan, .B. Brown",LAC,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-02-10
"B. Davis, .R. Butler, .C. Kaman, .E. Gordon, .D. Jordan",LAC,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-02-10
"B. Davis, .R. Butler, .M. Collins, .E. Gordon, .D. Jordan",LAC,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-02-10
"M. Camby, .C. Kaman, .M. Collins, .A. Thornton, .E. Gordon",LAC,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-02-10
"A. Jefferson, .R. Gomes, .R. Hollins, .C. Brewer, .J. Flynn",MIN,1,9,100.0,140.0,-40.0,42.9,3.00,15.8,12.5,57.1,33.3,0.1,53.6,51.9,84.05,32.4,2010-02-10
"A. Jefferson, .R. Gomes, .C. Brewer, .R. Sessions, .W. Ellington",MIN,1,6,83.3,83.3,0.0,40.0,0.00,14.3,14.3,50.0,33.3,0.0,41.7,41.7,90.47,58.1,2010-02-10
"A. Jefferson, .R. Gomes, .C. Brewer, .K. Love, .J. Flynn",MIN,1,5,90.0,63.6,26.4,75.0,3.00,23.1,0.0,75.0,33.3,0.1,50.0,50.0,108.78,43.3,2010-02-10
"A. Jefferson, .D. Wilkins, .C. Brewer, .K. Love, .J. Flynn",MIN,1,4,85.7,150.0,-64.3,66.7,2.00,22.2,0.0,66.7,33.3,0.1,50.0,50.0,98.63,23.3,2010-02-10
"A. Jefferson, .D. Wilkins, .R. Gomes, .R. Sessions, .W. Ellington",MIN,1,4,125.0,12.5,112.5,75.0,0.00,21.4,42.9,75.0,54.5,0.0,45.5,45.5,88.28,181.8,2010-02-10
"A. Jefferson, .R. Gomes, .C. Brewer, .R. Sessions, .K. Love",MIN,1,4,87.5,87.5,0.0,33.3,0.33,9.1,50.0,100,71.4,0.4,50.0,50.0,94.04,50.0,2010-02-10
"D. Wilkins, .R. Gomes, .R. Hollins, .J. Flynn, .W. Ellington",MIN,1,3,150.0,0.0,150.0,100,0.00,33.3,0.0,60.0,42.9,0.0,75.0,67.6,79.51,140.0,2010-02-10
"R. Gomes, .R. Hollins, .R. Sessions, .K. Love, .W. Ellington",MIN,1,3,66.7,116.7,-50.0,100,2.00,25.0,0.0,100,50.0,0.2,50.0,50.0,108.68,31.0,2010-02-10
"S. Pavlovic, .D. Wilkins, .R. Hollins, .R. Sessions, .K. Love",MIN,1,3,180.0,240.0,-60.0,0.0,0.00,0.0,33.3,0.0,25.0,0.0,70.0,71.2,76.15,31.7,2010-02-10
"D. Wilkins, .R. Gomes, .R. Hollins, .R. Sessions, .K. Love",MIN,1,2,100.0,200.0,-100.0,100,0.00,20.0,50.0,0.0,50.0,0.0,33.3,51.5,81.95,50.0,2010-02-10
"S. Pavlovic, .A. Jefferson, .D. Wilkins, .R. Sessions, .K. Love",MIN,1,2,100.0,66.7,33.3,0.0,0.00,0.0,0.0,100,100,0.3,100,79.8,93.91,0.0,2010-02-10
"S. Pavlovic, .A. Jefferson, .R. Gomes, .K. Love, .J. Flynn",MIN,1,2,80.0,100.0,-20.0,100,0.00,28.6,0.0,50.0,25.0,0.0,50.0,50.0,114.29,47.6,2010-02-10
"S. Pavlovic, .A. Jefferson, .D. Wilkins, .R. Gomes, .R. Sessions",MIN,1,1,66.7,100.0,-33.3,0.0,0.00,0.0,100,0.0,100,0.3,33.3,33.3,93.51,50.0,2010-02-10
"S. Pavlovic, .D. Wilkins, .R. Gomes, .R. Hollins, .R. Sessions",MIN,1,1,300.0,50.0,250.0,100,0.00,33.3,100,0.0,100,0.0,75.0,75.0,83.24,100,2010-02-10
"D. Wilkins, .R. Gomes, .R. Hollins, .K. Love, .J. Flynn",MIN,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-02-10
"D. Wilkins, .R. Hollins, .C. Brewer, .K. Love, .J. Flynn",MIN,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-02-10
"D. Wilkins, .R. Hollins, .C. Brewer, .R. Sessions, .K. Love",MIN,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-02-10
"R. Gomes, .R. Hollins, .C. Brewer, .K. Love, .J. Flynn",MIN,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-02-10
"R. Gomes, .R. Hollins, .C. Brewer, .R. Sessions, .K. Love",MIN,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-02-10
"S. Pavlovic, .A. Jefferson, .D. Wilkins, .K. Love, .J. Flynn",MIN,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-02-10
"S. Jackson, .N. Mohammed, .G. Wallace, .B. Diaw, .D. Augustin",CHA,1,27,130.0,108.2,21.8,64.0,2.00,21.1,43.5,91.3,67.4,0.2,59.4,62.5,86.57,61.7,2010-02-10
"S. Jackson, .N. Mohammed, .R. Murray, .B. Diaw, .D. Augustin",CHA,1,4,77.8,87.5,-9.7,66.7,2.00,18.2,0.0,66.7,40.0,0.1,42.9,42.1,96.76,60.9,2010-02-10
"S. Jackson, .T. Chandler, .G. Wallace, .R. Murray, .D. Augustin",CHA,1,4,50.0,116.7,-66.7,100,0.50,12.5,33.3,40.0,37.5,0.3,25.0,30.7,79.63,-71.4,2010-02-10
"N. Mohammed, .T. Chandler, .G. Wallace, .R. Murray, .A. Law",CHA,1,3,142.9,85.7,57.1,75.0,0.00,30.0,0.0,100,50.0,0.0,75.0,72.7,99.80,64.9,2010-02-10
"S. Jackson, .N. Mohammed, .G. Wallace, .R. Murray, .D. Augustin",CHA,1,2,0.0,125.0,-125.0,0.0,0.00,0.0,0.0,50.0,40.0,0.5,0.0,0.0,95.21,-25.0,2010-02-10
"S. Jackson, .N. Mohammed, .T. Chandler, .R. Murray, .D. Augustin",CHA,1,2,66.7,0.0,66.7,0.0,0.00,0.0,0.0,100,50.0,0.3,50.0,50.0,98.82,-100.0,2010-02-10
"S. Jackson, .T. Chandler, .G. Wallace, .B. Diaw, .D. Augustin",CHA,1,2,100.0,200.0,-100.0,0.0,0.00,0.0,100,50.0,66.7,0.0,50.0,52.1,96.00,21.4,2010-02-10
"S. Jackson, .G. Wallace, .R. Murray, .B. Diaw, .D. Augustin",CHA,1,1,0.0,300.0,-300.0,0.0,0.00,0.0,50.0,0.0,50.0,0.0,0.0,0.0,66.44,-27.3,2010-02-10
"S. Jackson, .N. Mohammed, .G. Wallace, .R. Murray, .B. Diaw",CHA,1,1,0.0,0.0,0.0,0.0,0.00,0.0,33.3,66.7,50.0,0.3,0.0,0.0,123.53,33.3,2010-02-10
"S. Jackson, .T. Chandler, .G. Wallace, .B. Diaw, .A. Law",CHA,1,1,150.0,66.7,83.3,0.0,0.00,0.0,0.0,50.0,50.0,0.5,150.0,150.0,90.00,50.0,2010-02-10
"S. Jackson, .N. Mohammed, .T. Chandler, .G. Wallace, .R. Murray",CHA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-02-10
"J. Hayes, .D. Harris, .J. Yi, .B. Lopez, .C. Lee",NJN,1,25,116.3,97.9,18.4,56.5,1.63,19.1,27.3,67.9,50.0,0.2,59.8,61.6,91.96,58.6,2010-02-10
"T. Hassell, .K. Humphries, .C. Quinn, .C. Douglas-Roberts, .T. Williams",NJN,1,4,57.1,25.0,32.1,100,0.50,10.0,40.0,100,57.1,0.3,16.7,29.1,100.47,175.0,2010-02-10
"T. Battie, .K. Dooling, .J. Hayes, .K. Humphries, .T. Williams",NJN,1,3,140.0,33.3,106.7,33.3,0.00,16.7,0.0,40.0,28.6,0.0,70.0,70.0,102.86,94.1,2010-02-10
"T. Hassell, .D. Harris, .J. Yi, .B. Lopez, .C. Lee",NJN,1,3,33.3,100.0,-66.7,0.0,0.00,0.0,25.0,100,57.1,0.2,20.0,20.0,93.18,0.0,2010-02-10
"T. Hassell, .K. Humphries, .C. Quinn, .B. Lopez, .T. Williams",NJN,1,3,0.0,83.3,-83.3,0.0,0.00,0.0,0.0,50.0,25.0,0.2,0.0,0.0,97.42,-120.0,2010-02-10
