lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"M. Miller, .J. Collins, .A. Jefferson, .R. Gomes, .R. Foye",MIN,1,13,116.7,108.3,8.3,54.5,1.00,18.2,30.0,72.7,52.4,0.3,62.5,64.3,90.35,52.8,2008-11-29
"M. Miller, .A. Jefferson, .R. Gomes, .R. Foye, .K. Love",MIN,1,5,110.0,110.0,0.0,40.0,1.00,14.3,40.0,33.3,37.5,0.2,55.0,55.0,104.35,40.9,2008-11-29
"M. Miller, .S. Telfair, .A. Jefferson, .R. Foye, .K. Love",MIN,1,5,120.0,77.8,42.2,50.0,0.00,20.0,40.0,33.3,37.5,0.0,54.5,54.5,89.41,70.6,2008-11-29
"M. Miller, .J. Collins, .S. Telfair, .C. Brewer, .K. Love",MIN,1,4,0.0,122.2,-122.2,0.0,0.00,0.0,14.3,75.0,36.4,0.1,0.0,0.0,118.49,-38.5,2008-11-29
"A. Jefferson, .R. McCants, .R. Gomes, .R. Foye, .K. Love",MIN,1,3,120.0,200.0,-80.0,66.7,2.00,28.6,0.0,33.3,25.0,0.2,75.0,75.0,103.53,23.5,2008-11-29
"S. Telfair, .A. Jefferson, .R. Gomes, .C. Smith, .C. Brewer",MIN,1,3,75.0,57.1,17.9,100,2.00,20.0,0.0,71.4,50.0,0.1,40.0,51.0,116.76,120.0,2008-11-29
"S. Telfair, .R. Foye, .C. Smith, .C. Brewer, .K. Love",MIN,1,3,66.7,83.3,-16.7,0.0,0.00,0.0,50.0,100,66.7,0.2,33.3,33.3,86.40,13.3,2008-11-29
"B. Cardinal, .S. Telfair, .R. Foye, .R. Carney, .K. Love",MIN,1,2,140.0,50.0,90.0,33.3,1.00,12.5,66.7,75.0,71.4,0.2,50.0,54.3,113.96,92.9,2008-11-29
"M. Miller, .A. Jefferson, .R. Gomes, .R. Foye, .C. Smith",MIN,1,2,0.0,200.0,-200.0,0.0,0.00,0.0,0.0,100,33.3,0.5,0.0,0.0,92.90,-57.1,2008-11-29
"S. Telfair, .A. Jefferson, .R. Gomes, .C. Brewer, .K. Love",MIN,1,2,233.3,166.7,66.7,66.7,0.00,40.0,0.0,100,100,0.0,116.7,116.7,82.29,63.6,2008-11-29
"S. Telfair, .A. Jefferson, .R. McCants, .R. Gomes, .K. Love",MIN,1,2,125.0,100.0,25.0,50.0,0.00,20.0,0.0,33.3,20.0,0.0,62.5,62.5,115.61,53.8,2008-11-29
"J. Collins, .S. Telfair, .R. Gomes, .C. Brewer, .K. Love",MIN,1,1,133.3,200.0,-66.7,0.0,0.00,0.0,100,0.0,100,0.3,50.0,69.4,100.88,71.4,2008-11-29
"M. Miller, .S. Telfair, .A. Jefferson, .R. Gomes, .C. Smith",MIN,1,1,0.0,200.0,-200.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.00,0.0,2008-11-29
