lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"D. Milicic, .L. Ridnour, .C. Brewer, .K. Love, .W. Johnson",MIN,1,13,129.2,79.2,50.0,45.5,1.25,15.6,33.3,72.2,59.3,0.2,67.5,69.8,88.39,80.5,2010-12-04
"S. Telfair, .C. Brewer, .N. Pekovic, .W. Ellington, .L. Hayward",MIN,1,7,107.1,92.9,14.3,57.1,1.33,21.1,25.0,83.3,60.0,0.2,63.6,63.1,94.87,55.9,2010-12-04
"D. Milicic, .L. Ridnour, .K. Love, .W. Ellington, .W. Johnson",MIN,1,6,150.0,76.9,73.1,100,1.50,26.1,75.0,100,90.0,0.3,85.0,89.3,108.91,74.6,2010-12-04
"S. Telfair, .K. Koufos, .W. Ellington, .S. Gaines, .L. Hayward",MIN,1,6,116.7,133.3,-16.7,60.0,1.00,18.8,25.0,33.3,30.0,0.3,66.7,70.9,96.00,45.1,2010-12-04
"D. Milicic, .S. Telfair, .C. Brewer, .K. Love, .W. Ellington",MIN,1,4,185.7,100.0,85.7,60.0,0.00,27.3,66.7,75.0,71.4,0.0,75.0,77.0,95.55,81.6,2010-12-04
"L. Ridnour, .C. Brewer, .K. Love, .K. Koufos, .W. Johnson",MIN,1,3,83.3,160.0,-76.7,50.0,0.00,14.3,25.0,100,40.0,0.0,33.3,38.8,104.21,16.7,2010-12-04
"S. Telfair, .K. Love, .N. Pekovic, .W. Ellington, .W. Johnson",MIN,1,3,28.6,44.4,-15.9,0.0,0.00,0.0,0.0,85.7,66.7,0.6,33.3,33.3,117.55,33.3,2010-12-04
"D. Milicic, .S. Telfair, .C. Brewer, .K. Love, .W. Johnson",MIN,1,2,240.0,100.0,140.0,80.0,0.00,44.4,0.0,66.7,66.7,0.0,110.0,110.3,102.86,94.9,2010-12-04
"D. Milicic, .S. Telfair, .C. Brewer, .W. Ellington, .W. Johnson",MIN,1,2,200.0,133.3,66.7,66.7,0.00,33.3,100,50.0,66.7,0.0,100,100,98.82,76.2,2010-12-04
"S. Telfair, .K. Love, .K. Koufos, .W. Ellington, .W. Johnson",MIN,1,1,200.0,300.0,-100.0,100,0.00,40.0,0.0,0.0,0.0,0.0,125.0,104.2,104.35,50.0,2010-12-04
"S. Telfair, .N. Pekovic, .W. Ellington, .S. Gaines, .L. Hayward",MIN,1,1,100.0,66.7,33.3,0.0,0.00,0.0,0.0,50.0,33.3,0.0,50.0,50.0,83.72,0.0,2010-12-04
"D. Milicic, .L. Ridnour, .S. Telfair, .K. Love, .W. Ellington",MIN,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-12-04
"L. Ridnour, .K. Love, .N. Pekovic, .W. Ellington, .W. Johnson",MIN,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-12-04
"S. Telfair, .C. Brewer, .K. Koufos, .W. Ellington, .W. Johnson",MIN,1,0,0.0,100.0,-100.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.57,-100.0,2010-12-04
"S. Telfair, .C. Brewer, .K. Love, .N. Pekovic, .W. Ellington",MIN,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-12-04
"S. Telfair, .C. Brewer, .K. Love, .N. Pekovic, .W. Johnson",MIN,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2010-12-04
"A. Parker, .M. Williams, .A. Varejao, .J. Williams, .L. Powe",CLE,1,12,76.2,150.0,-73.8,71.4,2.50,16.1,31.3,100,47.6,0.1,31.8,33.7,88.33,11.4,2010-12-04
"A. Jamison, .J. Williams, .D. Gibson, .R. Hollins, .R. Sessions",CLE,1,4,155.6,160.0,-4.4,100,2.00,16.7,33.3,50.0,40.0,0.1,60.0,82.2,123.80,47.4,2010-12-04
"A. Parker, .A. Jamison, .D. Gibson, .R. Hollins, .R. Sessions",CLE,1,4,100.0,144.4,-44.4,33.3,1.00,9.1,20.0,33.3,25.0,0.1,43.8,50.7,103.68,32.5,2010-12-04
"J. Williams, .J. Moon, .R. Hollins, .R. Sessions, .M. Harris",CLE,1,4,100.0,85.7,14.3,33.3,0.00,10.0,40.0,66.7,50.0,0.0,37.5,45.0,90.00,71.4,2010-12-04
"A. Jamison, .D. Gibson, .R. Sessions, .S. Samuels, .M. Harris",CLE,1,3,40.0,116.7,-76.7,100,0.00,16.7,0.0,100,33.3,0.0,20.0,20.0,93.18,4.8,2010-12-04
"A. Jamison, .J. Williams, .D. Gibson, .L. Powe, .R. Sessions",CLE,1,3,150.0,80.0,70.0,75.0,0.00,27.3,66.7,100,80.0,0.0,64.3,64.3,82.50,71.9,2010-12-04
"A. Parker, .J. Williams, .L. Powe, .R. Hollins, .R. Sessions",CLE,1,3,142.9,112.5,30.4,33.3,0.00,12.5,0.0,60.0,42.9,0.0,60.0,74.0,106.93,64.5,2010-12-04
"J. Williams, .J. Moon, .R. Sessions, .S. Samuels, .M. Harris",CLE,1,3,142.9,142.9,0.0,33.3,0.50,9.1,100,100,100,0.3,50.0,61.0,97.86,48.5,2010-12-04
"A. Jamison, .M. Williams, .J. Williams, .D. Gibson, .L. Powe",CLE,1,2,0.0,200.0,-200.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.71,-55.6,2010-12-04
"A. Parker, .A. Jamison, .A. Varejao, .D. Gibson, .R. Sessions",CLE,1,2,125.0,150.0,-25.0,100,0.00,28.6,33.3,100,50.0,0.0,50.0,50.0,105.69,37.9,2010-12-04
"A. Parker, .A. Jamison, .M. Williams, .A. Varejao, .D. Gibson",CLE,1,2,120.0,200.0,-80.0,100,0.00,37.5,0.0,0.0,0.0,0.0,75.0,75.0,93.91,46.7,2010-12-04
"A. Parker, .M. Williams, .J. Williams, .L. Powe, .R. Hollins",CLE,1,2,40.0,140.0,-100.0,100,1.00,16.7,0.0,100,25.0,0.2,25.0,25.0,105.88,-5.6,2010-12-04
"J. Moon, .D. Gibson, .R. Sessions, .S. Samuels, .M. Harris",CLE,1,2,100.0,80.0,20.0,0.0,0.00,0.0,0.0,0.0,0.0,0.5,100,100,124.62,66.7,2010-12-04
