lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"M. Gortat, .R. Sessions, .M. Morris, .B. Beal, .O. Porter Jr",WAS,1,17,125.0,111.8,13.2,75.0,2.40,22.6,35.7,62.5,52.6,0.1,58.3,63.8,97.49,66.9,2016-04-06
"Nene, .J. Dudley, .G. Temple, .B. Beal, .K. Oubre Jr",WAS,1,11,120.0,79.2,40.8,66.7,2.00,21.6,44.4,81.8,65.0,0.2,65.0,68.9,111.79,77.5,2016-04-06
"M. Gortat, .R. Sessions, .G. Temple, .M. Morris, .O. Porter Jr",WAS,1,6,150.0,114.3,35.7,87.5,7.00,36.8,0.0,66.7,44.4,0.1,81.8,81.8,108.52,56.3,2016-04-06
"D. Gooden, .J. Hickson, .G. Temple, .J. Eddie, .K. Oubre Jr",WAS,1,5,66.7,154.5,-87.9,100,3.00,17.6,25.0,60.0,38.5,0.1,27.3,33.7,103.18,17.0,2016-04-06
"M. Gortat, .J. Dudley, .R. Sessions, .G. Temple, .O. Porter Jr",WAS,1,2,80.0,80.0,0.0,50.0,0.00,12.5,60.0,100,71.4,0.0,28.6,28.6,98.63,42.9,2016-04-06
"Nene, .R. Sessions, .G. Temple, .M. Morris, .O. Porter Jr",WAS,1,2,175.0,50.0,125.0,100,0.00,37.5,50.0,100,75.0,0.0,60.0,64.3,115.02,111.8,2016-04-06
"J. Dudley, .J. Hickson, .G. Temple, .B. Beal, .K. Oubre Jr",WAS,1,1,100.0,33.3,66.7,100,0.00,20.0,33.3,100,60.0,0.0,37.5,37.5,137.14,166.7,2016-04-06
"Nene, .G. Temple, .M. Morris, .B. Beal, .K. Oubre Jr",WAS,1,1,200.0,50.0,150.0,0.0,0.00,0.0,0.0,100,100,0.0,100,100,91.91,0.0,2016-04-06
"Nene, .J. Dudley, .G. Temple, .B. Beal, .O. Porter Jr",WAS,1,1,200.0,100.0,100.0,50.0,0.00,25.0,100,100,100,0.0,66.7,58.1,111.20,76.9,2016-04-06
"Nene, .R. Sessions, .M. Morris, .B. Beal, .K. Oubre Jr",WAS,1,1,0.0,0.0,0.0,0.0,0.00,0.0,0.0,100,50.0,0.5,0.0,0.0,83.08,133.3,2016-04-06
"Nene, .R. Sessions, .M. Morris, .B. Beal, .O. Porter Jr",WAS,1,1,0.0,200.0,-200.0,0.0,0.00,0.0,100,0.0,100,0.0,0.0,0.0,67.71,-150.0,2016-04-06
"D. Gooden, .J. Hickson, .G. Temple, .B. Beal, .K. Oubre Jr",WAS,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2016-04-06
