lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"C. Bosh, .D. Wade, .L. Deng, .S. Williams, .N. Cole",MIA,1,11,104.5,152.4,-47.8,37.5,0.75,10.3,40.0,75.0,50.0,0.2,50.0,54.6,91.87,28.6,2014-11-04
"C. Bosh, .M. Chalmers, .J. Hamilton, .J. Ennis III, .S. Napier",MIA,1,8,135.7,107.1,28.6,66.7,1.33,17.4,50.0,57.1,52.9,0.2,72.7,65.4,79.84,56.3,2014-11-04
"C. Bosh, .D. Wade, .M. Chalmers, .J. Hamilton, .S. Napier",MIA,1,6,58.3,125.0,-66.7,100,2.00,13.3,12.5,83.3,42.9,0.1,30.0,32.2,98.46,13.2,2014-11-04
"D. Wade, .L. Deng, .S. Williams, .M. Chalmers, .J. Hamilton",MIA,1,4,60.0,88.9,-28.9,50.0,0.20,9.1,0.0,50.0,40.0,0.5,66.7,69.4,105.68,8.3,2014-11-04
"D. Wade, .L. Deng, .S. Williams, .N. Cole, .J. Hamilton",MIA,1,4,157.1,112.5,44.6,33.3,0.00,12.5,50.0,50.0,50.0,0.0,70.0,81.4,99.49,66.7,2014-11-04
"D. Wade, .S. Williams, .M. Chalmers, .J. Hamilton, .S. Napier",MIA,1,3,83.3,120.0,-36.7,50.0,0.50,9.1,80.0,0.0,80.0,0.3,35.7,35.7,94.85,-50.0,2014-11-04
"C. Bosh, .D. Wade, .L. Deng, .S. Williams, .S. Napier",MIA,1,2,66.7,100.0,-33.3,100,1.00,25.0,0.0,100,100,0.3,100,100,87.27,60.0,2014-11-04
"C. Bosh, .J. McRoberts, .M. Chalmers, .J. Ennis III, .S. Napier",MIA,1,2,100.0,40.0,60.0,0.0,0.00,0.0,50.0,66.7,62.5,0.3,50.0,45.0,91.91,-50.0,2014-11-04
"D. Wade, .J. McRoberts, .M. Chalmers, .J. Hamilton, .S. Napier",MIA,1,2,50.0,50.0,0.0,100,1.00,20.0,0.0,100,33.3,0.3,33.3,33.3,114.06,100,2014-11-04
"S. Williams, .J. Hamilton, .J. Ennis III, .S. Napier, .A. Dawkins",MIA,1,2,100.0,125.0,-25.0,0.0,0.00,0.0,0.0,50.0,25.0,0.0,33.3,51.5,91.43,31.6,2014-11-04
"C. Bosh, .S. Williams, .M. Chalmers, .J. Ennis III, .S. Napier",MIA,1,1,300.0,200.0,100.0,100,0.00,50.0,0.0,0.0,0.0,0.0,150.0,150.0,92.90,66.7,2014-11-04
"L. Deng, .S. Williams, .J. McRoberts, .M. Chalmers, .N. Cole",MIA,1,1,250.0,300.0,-50.0,50.0,0.00,25.0,100,0.0,50.0,0.0,83.3,83.3,84.71,20.8,2014-11-04
"L. Deng, .S. Williams, .M. Chalmers, .J. Hamilton, .S. Napier",MIA,1,1,0.0,0.0,0.0,0.0,0.00,0.0,50.0,100,66.7,0.5,0.0,0.0,73.22,100,2014-11-04
"S. Williams, .M. Chalmers, .J. Hamilton, .J. Ennis III, .S. Napier",MIA,1,1,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.29,100,2014-11-04
"C. Bosh, .D. Wade, .S. Williams, .M. Chalmers, .S. Napier",MIA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2014-11-04
"J. McRoberts, .M. Chalmers, .J. Hamilton, .J. Ennis III, .S. Napier",MIA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.41,100,2014-11-04
"L. Deng, .S. Williams, .M. Chalmers, .N. Cole, .J. Hamilton",MIA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,100,0.0,100,0.0,0.0,0.0,110.77,100,2014-11-04
"D. Howard, .T. Ariza, .J. Harden, .P. Beverley, .K. Papanikolaou",HOU,1,15,163.0,93.1,69.9,81.3,2.60,31.0,28.6,85.7,66.7,0.2,89.1,90.5,88.32,75.2,2014-11-04
"D. Howard, .T. Ariza, .J. Harden, .P. Beverley, .D. Motiejunas",HOU,1,7,123.1,85.7,37.4,66.7,1.33,22.2,25.0,60.0,44.4,0.2,70.0,73.5,90.42,71.1,2014-11-04
"J. Terry, .D. Howard, .T. Ariza, .J. Harden, .K. Papanikolaou",HOU,1,4,175.0,66.7,108.3,25.0,1.00,8.3,60.0,42.9,50.0,0.1,56.3,65.8,91.34,131.8,2014-11-04
"J. Terry, .T. Ariza, .J. Dorsey, .J. Harden, .K. Papanikolaou",HOU,1,4,185.7,112.5,73.2,50.0,2.00,16.7,100,0.0,75.0,0.1,78.6,82.5,93.91,77.8,2014-11-04
"J. Terry, .D. Howard, .T. Ariza, .K. Papanikolaou, .I. Canaan",HOU,1,3,100.0,50.0,50.0,100,1.00,16.7,0.0,60.0,42.9,0.2,50.0,64.4,102.86,137.5,2014-11-04
"J. Terry, .J. Dorsey, .J. Harden, .K. Papanikolaou, .I. Canaan",HOU,1,3,80.0,160.0,-80.0,50.0,0.50,16.7,100,60.0,66.7,0.4,66.7,66.7,80.45,14.3,2014-11-04
"D. Howard, .T. Ariza, .J. Harden, .D. Motiejunas, .I. Canaan",HOU,1,2,150.0,140.0,10.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,75.0,79.8,103.68,44.4,2014-11-04
"J. Terry, .D. Howard, .P. Beverley, .K. Papanikolaou, .I. Canaan",HOU,1,2,25.0,66.7,-41.7,0.0,0.00,0.0,25.0,50.0,33.3,0.0,0.0,12.9,106.11,125.0,2014-11-04
"T. Ariza, .J. Harden, .P. Beverley, .D. Motiejunas, .K. Papanikolaou",HOU,1,2,0.0,150.0,-150.0,0.0,0.00,0.0,0.0,50.0,20.0,0.0,0.0,0.0,100.80,-50.0,2014-11-04
"D. Howard, .T. Ariza, .J. Harden, .K. Papanikolaou, .I. Canaan",HOU,1,1,0.0,150.0,-150.0,0.0,0.00,0.0,50.0,0.0,50.0,0.5,0.0,0.0,72.91,333.3,2014-11-04
"D. Howard, .T. Ariza, .P. Beverley, .D. Motiejunas, .I. Canaan",HOU,1,1,0.0,0.0,0.0,0.0,0.00,0.0,0.0,100,100,1.0,0.0,0.0,122.55,50.0,2014-11-04
"D. Howard, .T. Ariza, .P. Beverley, .K. Papanikolaou, .I. Canaan",HOU,1,1,100.0,0.0,100.0,0.0,0.00,0.0,0.0,0.0,0.0,0.5,100,100,107.46,0.0,2014-11-04
"J. Terry, .D. Howard, .P. Beverley, .D. Motiejunas, .I. Canaan",HOU,1,1,33.3,66.7,-33.3,0.0,0.00,0.0,50.0,100,66.7,0.3,0.0,17.4,120.00,100,2014-11-04
"J. Terry, .J. Dorsey, .J. Harden, .P. Beverley, .K. Papanikolaou",HOU,1,1,66.7,300.0,-233.3,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,34.7,103.60,0.0,2014-11-04
"D. Howard, .J. Harden, .P. Beverley, .D. Motiejunas, .K. Papanikolaou",HOU,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2014-11-04
"J. Harden, .P. Beverley, .D. Motiejunas, .K. Papanikolaou, .I. Canaan",HOU,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2014-11-04
"J. Terry, .D. Howard, .J. Harden, .P. Beverley, .K. Papanikolaou",HOU,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.63,0.0,2014-11-04
"J. Terry, .D. Motiejunas, .K. Papanikolaou, .I. Canaan, .T. Daniels",HOU,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.45,0.0,2014-11-04
"J. Terry, .T. Ariza, .J. Harden, .P. Beverley, .K. Papanikolaou",HOU,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2014-11-04
"P. Beverley, .D. Motiejunas, .K. Papanikolaou, .I. Canaan, .T. Daniels",HOU,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2014-11-04
"T. Ariza, .J. Harden, .P. Beverley, .K. Papanikolaou, .I. Canaan",HOU,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2014-11-04
"E. Gordon, .O. Asik, .T. Evans, .J. Holiday, .A. Davis",NOP,1,16,100.0,65.5,34.5,91.7,2.75,25.6,15.4,88.2,56.7,0.1,50.0,55.1,90.19,78.7,2014-11-04
"R. Anderson, .T. Evans, .J. Holiday, .A. Davis, .A. Rivers",NOP,1,7,93.3,130.8,-37.4,83.3,2.50,22.7,33.3,71.4,53.8,0.1,50.0,54.3,96.69,46.5,2014-11-04
"E. Gordon, .O. Asik, .J. Holiday, .A. Davis, .A. Rivers",NOP,1,5,130.0,81.8,48.2,100,3.00,20.0,40.0,83.3,63.6,0.1,43.8,61.1,101.92,76.7,2014-11-04
