lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"R. Rondo, .J. McGee, .K. Caldwell-Pope, .A. Caruso, .M. Wagner",LAL,1,10,58.3,152.2,-93.8,83.3,1.67,15.2,23.5,70.0,40.7,0.1,26.1,28.3,108.12,11.4,2019-04-04
"A. Caruso, .M. Wagner, .I. Bonga, .J. Williams, .J. Jones",LAL,1,8,100.0,52.9,47.1,66.7,0.80,17.4,33.3,100,75.0,0.3,54.5,60.4,106.90,89.1,2019-04-04
"L. Stephenson, .M. Muscala, .A. Caruso, .J. Williams, .J. Jones",LAL,1,7,106.3,37.5,68.8,85.7,1.50,24.0,37.5,83.3,65.0,0.3,57.1,55.5,102.63,128.6,2019-04-04
"R. Rondo, .J. McGee, .K. Caldwell-Pope, .M. Wagner, .J. Jones",LAL,1,4,118.2,80.0,38.2,50.0,1.50,18.8,50.0,100,77.8,0.2,65.0,65.0,113.26,72.1,2019-04-04
"R. Rondo, .L. Stephenson, .M. Muscala, .A. Caruso, .J. Williams",LAL,1,4,44.4,100.0,-55.6,50.0,0.00,8.3,25.0,50.0,33.3,0.0,20.0,20.0,103.73,21.7,2019-04-04
"R. Rondo, .L. Stephenson, .M. Muscala, .J. Williams, .J. Jones",LAL,1,4,137.5,100.0,37.5,50.0,0.00,14.3,57.1,100,72.7,0.0,50.0,50.0,86.06,58.8,2019-04-04
"K. Caldwell-Pope, .M. Muscala, .A. Caruso, .J. Williams, .J. Jones",LAL,1,2,83.3,116.7,-33.3,100,0.00,15.4,62.5,75.0,66.7,0.0,25.0,25.0,119.17,40.9,2019-04-04
"R. Rondo, .J. McGee, .K. Caldwell-Pope, .M. Muscala, .A. Caruso",LAL,1,2,125.0,175.0,-50.0,50.0,0.00,14.3,66.7,0.0,50.0,0.0,50.0,50.0,101.95,23.8,2019-04-04
"R. Rondo, .J. McGee, .L. Stephenson, .M. Muscala, .A. Caruso",LAL,1,2,33.3,140.0,-106.7,0.0,0.00,0.0,0.0,50.0,28.6,0.2,25.0,25.0,108.49,5.9,2019-04-04
"M. Muscala, .A. Caruso, .I. Bonga, .J. Williams, .J. Jones",LAL,1,1,0.0,150.0,-150.0,0.0,0.00,0.0,0.0,100,100,0.5,0.0,0.0,97.63,-50.0,2019-04-04
"R. Rondo, .J. McGee, .L. Stephenson, .K. Caldwell-Pope, .M. Wagner",LAL,1,1,40.0,140.0,-100.0,100,1.00,12.5,40.0,0.0,40.0,0.2,20.0,20.0,175.61,-8.3,2019-04-04
"R. Rondo, .L. Stephenson, .K. Caldwell-Pope, .M. Muscala, .M. Wagner",LAL,1,1,0.0,133.3,-133.3,0.0,0.00,0.0,0.0,0.0,0.0,0.5,0.0,0.0,150.00,-80.0,2019-04-04
"J. McGee, .K. Caldwell-Pope, .M. Muscala, .M. Wagner, .J. Jones",LAL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-04-04
"K. Caldwell-Pope, .M. Muscala, .M. Wagner, .J. Williams, .J. Jones",LAL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-04-04
"R. Rondo, .J. McGee, .K. Caldwell-Pope, .M. Muscala, .J. Jones",LAL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-04-04
"R. Rondo, .J. McGee, .L. Stephenson, .M. Muscala, .J. Williams",LAL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-04-04
"R. Rondo, .L. Stephenson, .M. Muscala, .M. Wagner, .J. Williams",LAL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-04-04
"K. Durant, .S. Curry, .D. Cousins, .K. Thompson, .D. Green",GSW,1,15,154.3,60.0,94.3,81.0,5.67,29.8,35.7,76.0,61.5,0.1,74.3,75.3,111.38,89.6,2019-04-04
"J. Jerebko, .Q. Cook, .D. Lee, .J. Bell, .J. Evans",GSW,1,5,81.8,81.8,0.0,50.0,2.00,15.4,0.0,75.0,33.3,0.1,50.0,50.0,108.49,50.0,2019-04-04
"K. Durant, .S. Curry, .D. Green, .K. Looney, .A. McKinnie",GSW,1,5,116.7,53.8,62.8,66.7,1.00,21.1,60.0,70.0,66.7,0.3,63.6,63.6,110.09,86.8,2019-04-04
"J. Jerebko, .D. Cousins, .K. Thompson, .Q. Cook, .A. McKinnie",GSW,1,4,44.4,111.1,-66.7,0.0,0.00,0.0,33.3,66.7,44.4,0.2,25.0,25.0,112.21,-16.7,2019-04-04
"J. Jerebko, .K. Thompson, .Q. Cook, .D. Lee, .J. Bell",GSW,1,4,62.5,87.5,-25.0,100,0.00,20.0,0.0,60.0,27.3,0.0,31.3,31.3,87.94,11.8,2019-04-04
"J. Jerebko, .Q. Cook, .A. McKinnie, .J. Bell, .J. Evans",GSW,1,3,0.0,114.3,-114.3,0.0,0.00,0.0,0.0,50.0,14.3,0.2,0.0,0.0,112.77,-175.0,2019-04-04
"K. Durant, .J. Jerebko, .D. Cousins, .K. Thompson, .Q. Cook",GSW,1,3,100.0,71.4,28.6,33.3,1.00,11.1,20.0,37.5,30.8,0.1,50.0,47.0,126.00,55.0,2019-04-04
"K. Durant, .S. Curry, .K. Thompson, .D. Green, .K. Looney",GSW,1,3,71.4,100.0,-28.6,100,1.00,20.0,25.0,40.0,33.3,0.3,41.7,41.7,109.64,33.3,2019-04-04
"S. Curry, .D. Green, .K. Looney, .D. Lee, .A. McKinnie",GSW,1,3,83.3,114.3,-31.0,50.0,0.00,14.3,0.0,50.0,30.0,0.0,41.7,41.7,90.00,33.3,2019-04-04
"K. Durant, .S. Curry, .D. Cousins, .D. Green, .Q. Cook",GSW,1,2,100.0,140.0,-40.0,100,1.00,16.7,0.0,50.0,25.0,0.2,50.0,64.4,109.09,36.4,2019-04-04
"K. Durant, .S. Curry, .D. Green, .K. Looney, .Q. Cook",GSW,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-04-04
"K. Durant, .S. Curry, .J. Jerebko, .D. Cousins, .Q. Cook",GSW,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-04-04
"K. Durant, .S. Curry, .K. Thompson, .D. Green, .A. McKinnie",GSW,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2019-04-04
"K. Walker, .F. Kaminsky, .M. Monk, .D. Bacon, .M. Bridges",CHA,1,8,100.0,164.7,-64.7,50.0,4.00,17.4,11.1,100,38.5,0.1,52.9,52.9,99.21,23.0,2019-04-05
"K. Walker, .J. Lamb, .F. Kaminsky, .D. Bacon, .M. Bridges",CHA,1,6,158.3,123.1,35.3,75.0,6.00,28.6,50.0,85.7,69.2,0.1,64.3,65.8,107.78,62.9,2019-04-05
