lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"D. Nowitzki, .T. Chandler, .M. Ellis, .R. Rondo, .C. Parsons",DAL,1,9,70.6,83.3,-12.7,33.3,0.50,9.5,33.3,75.0,52.9,0.2,40.0,40.0,96.37,33.3,2015-02-20
"D. Nowitzki, .T. Chandler, .D. Harris, .M. Ellis, .C. Parsons",DAL,1,4,120.0,111.1,8.9,80.0,2.00,23.5,80.0,66.7,75.0,0.2,50.0,55.1,107.72,55.0,2015-02-20
"T. Chandler, .D. Harris, .C. Villanueva, .M. Ellis, .A. Aminu",DAL,1,4,72.7,100.0,-27.3,33.3,0.50,8.3,0.0,40.0,20.0,0.2,37.5,45.0,131.22,32.3,2015-02-20
"T. Chandler, .D. Harris, .M. Ellis, .A. Aminu, .C. Parsons",DAL,1,4,163.6,83.3,80.3,71.4,5.00,31.3,0.0,75.0,50.0,0.1,88.9,91.1,124.04,87.5,2015-02-20
"C. Villanueva, .R. Rondo, .J. Barea, .A. Aminu, .C. Parsons",DAL,1,2,125.0,125.0,0.0,100,2.00,33.3,0.0,66.7,50.0,0.3,83.3,83.3,87.94,63.2,2015-02-20
"D. Nowitzki, .D. Harris, .C. Villanueva, .M. Ellis, .A. Aminu",DAL,1,2,200.0,100.0,100.0,33.3,0.00,20.0,0.0,100,66.7,0.0,100,100,116.13,69.2,2015-02-20
"D. Nowitzki, .R. Jefferson, .D. Harris, .J. Barea, .A. Aminu",DAL,1,2,125.0,0.0,125.0,50.0,0.00,14.3,50.0,33.3,42.9,0.0,41.7,41.7,99.69,300.0,2015-02-20
"D. Nowitzki, .R. Rondo, .J. Barea, .A. Aminu, .C. Parsons",DAL,1,2,175.0,0.0,175.0,100,0.00,42.9,0.0,80.0,80.0,0.0,116.7,116.7,95.21,164.7,2015-02-20
"D. Nowitzki, .T. Chandler, .D. Harris, .R. Rondo, .C. Parsons",DAL,1,2,100.0,125.0,-25.0,50.0,1.00,16.7,50.0,100,66.7,0.3,50.0,50.0,91.43,41.2,2015-02-20
"D. Nowitzki, .T. Chandler, .M. Ellis, .R. Rondo, .A. Aminu",DAL,1,2,133.3,100.0,33.3,50.0,0.00,25.0,0.0,50.0,33.3,0.0,66.7,66.7,83.88,53.3,2015-02-20
"T. Chandler, .D. Harris, .C. Villanueva, .M. Ellis, .C. Parsons",DAL,1,2,33.3,80.0,-46.7,100,1.00,14.3,0.0,100,40.0,0.2,25.0,25.0,135.38,12.5,2015-02-20
"T. Chandler, .R. Jefferson, .D. Harris, .M. Ellis, .A. Aminu",DAL,1,2,83.3,28.6,54.8,50.0,1.00,11.1,40.0,100,62.5,0.2,35.7,35.7,141.82,133.3,2015-02-20
"D. Nowitzki, .D. Harris, .J. Barea, .A. Aminu, .C. Parsons",DAL,1,1,133.3,133.3,0.0,50.0,0.00,20.0,50.0,0.0,50.0,0.0,50.0,50.0,98.18,36.8,2015-02-20
"D. Nowitzki, .R. Jefferson, .D. Harris, .M. Ellis, .A. Aminu",DAL,1,1,33.3,66.7,-33.3,0.0,0.00,0.0,0.0,66.7,40.0,0.3,0.0,26.6,154.29,0.0,2015-02-20
"D. Nowitzki, .T. Chandler, .D. Harris, .M. Ellis, .A. Aminu",DAL,1,1,66.7,0.0,66.7,0.0,0.00,0.0,33.3,100,60.0,0.0,25.0,25.0,115.86,150.0,2015-02-20
"R. Jefferson, .D. Harris, .C. Villanueva, .J. Barea, .A. Aminu",DAL,1,1,0.0,0.0,0.0,0.0,0.00,0.0,0.0,50.0,25.0,0.0,0.0,0.0,110.77,-100.0,2015-02-20
"R. Jefferson, .D. Harris, .R. Rondo, .J. Barea, .A. Aminu",DAL,1,1,100.0,200.0,-100.0,0.0,0.00,0.0,50.0,0.0,33.3,0.0,0.0,28.4,93.71,0.0,2015-02-20
"T. Chandler, .C. Villanueva, .M. Ellis, .J. Barea, .C. Parsons",DAL,1,1,150.0,0.0,150.0,100,1.00,33.3,0.0,50.0,50.0,0.5,150.0,150.0,84.71,0.0,2015-02-20
"T. Chandler, .C. Villanueva, .M. Ellis, .R. Rondo, .A. Aminu",DAL,1,1,0.0,200.0,-200.0,0.0,0.00,0.0,100,0.0,50.0,0.7,0.0,0.0,126.32,-175.0,2015-02-20
"T. Chandler, .D. Harris, .M. Ellis, .R. Rondo, .A. Aminu",DAL,1,1,200.0,80.0,120.0,100,0.00,25.0,0.0,100,100,0.0,100,108.7,262.41,140.0,2015-02-20
"T. Chandler, .R. Rondo, .J. Barea, .A. Aminu, .C. Parsons",DAL,1,1,66.7,250.0,-183.3,0.0,0.00,0.0,0.0,0.0,0.0,0.0,50.0,50.0,100.00,0.0,2015-02-20
"R. Jefferson, .C. Villanueva, .R. Rondo, .J. Barea, .A. Aminu",DAL,1,0,0.0,300.0,-300.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.29,-14.3,2015-02-20
"R. Jefferson, .D. Harris, .M. Ellis, .R. Rondo, .A. Aminu",DAL,1,0,200.0,0.0,200.0,0.0,0.00,0.0,0.0,100,100,0.0,0.0,113.6,"2,880.00",150.0,2015-02-20
"T. Chandler, .C. Villanueva, .R. Rondo, .J. Barea, .A. Aminu",DAL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2015-02-20
"T. Chandler, .M. Ellis, .J. Barea, .A. Aminu, .C. Parsons",DAL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2015-02-20
"T. Ariza, .J. Dorsey, .J. Harden, .P. Beverley, .D. Motiejunas",HOU,1,11,100.0,95.5,4.5,71.4,0.83,16.7,33.3,70.0,52.6,0.3,53.3,60.8,94.29,52.5,2015-02-20
"J. Terry, .J. Smith, .T. Ariza, .C. Brewer, .T. Jones",HOU,1,7,92.9,83.3,9.5,50.0,0.50,10.0,55.6,66.7,61.1,0.3,45.8,47.2,94.78,57.1,2015-02-20
"J. Terry, .T. Ariza, .C. Brewer, .J. Harden, .T. Jones",HOU,1,6,92.9,80.0,12.9,60.0,1.00,15.8,28.6,87.5,60.0,0.2,50.0,50.5,107.91,53.7,2015-02-20
"J. Smith, .T. Ariza, .J. Harden, .P. Beverley, .D. Motiejunas",HOU,1,5,72.7,100.0,-27.3,33.3,0.50,8.3,0.0,33.3,12.5,0.2,43.8,45.0,104.17,5.9,2015-02-20
