lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"D. Stevenson, .K. Korver, .J. Smith, .A. Horford, .J. Teague",ATL,1,19,113.9,97.1,16.7,75.0,2.40,24.0,14.3,87.5,53.3,0.1,63.3,62.8,91.53,66.4,2013-04-03
"K. Korver, .J. Smith, .A. Horford, .J. Teague, .S. Mack",ATL,1,7,72.7,118.2,-45.5,100,1.50,21.4,0.0,60.0,33.3,0.2,42.9,45.7,77.08,32.4,2013-04-03
"D. Jones, .K. Korver, .A. Tolliver, .I. Johnson, .S. Mack",ATL,1,4,100.0,83.3,16.7,66.7,0.00,22.2,0.0,75.0,42.9,0.0,58.3,58.3,87.07,76.2,2013-04-03
"D. Jones, .J. Smith, .A. Horford, .A. Tolliver, .J. Teague",ATL,1,3,0.0,160.0,-160.0,0.0,0.00,0.0,0.0,100,25.0,0.2,0.0,0.0,90.57,-100.0,2013-04-03
"D. Jones, .K. Korver, .J. Smith, .A. Horford, .J. Teague",ATL,1,3,57.1,116.7,-59.5,100,0.00,11.1,16.7,75.0,40.0,0.0,20.0,31.6,96.00,6.3,2013-04-03
"D. Stevenson, .A. Horford, .A. Tolliver, .I. Johnson, .S. Mack",ATL,1,3,80.0,133.3,-53.3,100,0.67,28.6,0.0,100,100,0.6,100,100,86.56,27.3,2013-04-03
"D. Stevenson, .K. Korver, .A. Horford, .I. Johnson, .J. Teague",ATL,1,3,33.3,120.0,-86.7,0.0,0.00,0.0,50.0,100,75.0,0.5,33.3,33.3,94.85,-25.0,2013-04-03
"K. Korver, .J. Smith, .I. Johnson, .J. Teague, .S. Mack",ATL,1,3,140.0,83.3,56.7,0.0,0.00,0.0,0.0,33.3,20.0,0.0,60.0,64.3,87.51,63.6,2013-04-03
"J. Smith, .A. Tolliver, .I. Johnson, .J. Teague, .S. Mack",ATL,1,2,300.0,200.0,100.0,100,0.00,50.0,0.0,0.0,0.0,0.0,150.0,150.0,46.96,46.2,2013-04-03
"D. Jones, .J. Smith, .A. Tolliver, .I. Johnson, .S. Mack",ATL,1,1,100.0,250.0,-150.0,0.0,0.00,0.0,75.0,0.0,75.0,0.0,50.0,38.7,83.72,7.7,2013-04-03
"D. Stevenson, .J. Smith, .A. Horford, .I. Johnson, .S. Mack",ATL,1,1,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,144.00,50.0,2013-04-03
"D. Jones, .J. Smith, .A. Horford, .A. Tolliver, .I. Johnson",ATL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2013-04-03
"D. Jones, .K. Korver, .A. Tolliver, .I. Johnson, .J. Teague",ATL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.77,0.0,2013-04-03
"D. Stevenson, .J. Smith, .A. Horford, .I. Johnson, .J. Teague",ATL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2013-04-03
"D. Stevenson, .K. Korver, .A. Tolliver, .I. Johnson, .J. Teague",ATL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2013-04-03
"D. Stevenson, .K. Korver, .J. Smith, .I. Johnson, .J. Teague",ATL,1,0,300.0,0.0,300.0,100,0.00,50.0,0.0,100,100,0.0,100,104.2,137.14,166.7,2013-04-03
"J. Kidd, .T. Chandler, .C. Anthony, .J. Smith, .R. Felton",NYK,1,9,135.7,76.9,58.8,44.4,4.00,19.0,50.0,83.3,66.7,0.1,63.3,63.3,76.09,71.2,2013-04-03
"T. Chandler, .C. Anthony, .R. Felton, .I. Shumpert, .P. Prigioni",NYK,1,9,76.5,117.6,-41.2,20.0,0.50,5.3,10.0,85.7,41.2,0.1,36.7,40.9,94.70,18.3,2013-04-03
"J. Kidd, .K. Martin, .C. Anthony, .J. Smith, .I. Shumpert",NYK,1,4,183.3,42.9,140.5,40.0,0.00,25.0,0.0,57.1,50.0,0.0,91.7,91.7,81.04,147.4,2013-04-03
"J. Kidd, .K. Martin, .C. Anthony, .J. Smith, .R. Felton",NYK,1,3,120.0,200.0,-80.0,33.3,0.50,11.1,100,100,100,0.4,60.0,60.0,65.13,37.9,2013-04-03
"J. Kidd, .K. Martin, .C. Anthony, .R. Felton, .S. Novak",NYK,1,3,120.0,33.3,86.7,50.0,0.00,16.7,0.0,50.0,25.0,0.0,62.5,61.5,88.00,125.0,2013-04-03
"J. Kidd, .T. Chandler, .C. Anthony, .R. Felton, .S. Novak",NYK,1,3,80.0,183.3,-103.3,50.0,0.50,16.7,0.0,100,50.0,0.4,66.7,66.7,96.59,11.1,2013-04-03
"K. Martin, .C. Anthony, .J. Smith, .I. Shumpert, .P. Prigioni",NYK,1,3,100.0,116.7,-16.7,0.0,0.00,0.0,0.0,100,50.0,0.2,62.5,62.5,81.65,29.6,2013-04-03
"J. Kidd, .K. Martin, .C. Anthony, .J. Smith, .P. Prigioni",NYK,1,2,75.0,166.7,-91.7,0.0,0.00,0.0,0.0,100,33.3,0.0,33.3,38.7,106.11,0.0,2013-04-03
"J. Kidd, .K. Martin, .J. Smith, .R. Felton, .S. Novak",NYK,1,2,80.0,100.0,-20.0,0.0,0.00,0.0,0.0,0.0,0.0,0.2,66.7,66.7,88.77,37.5,2013-04-03
"J. Kidd, .K. Martin, .J. Smith, .S. Novak, .C. Copeland",NYK,1,2,25.0,40.0,-15.0,0.0,0.00,0.0,25.0,100,57.1,0.3,0.0,12.9,98.93,300.0,2013-04-03
"K. Martin, .C. Anthony, .R. Felton, .S. Novak, .I. Shumpert",NYK,1,2,175.0,40.0,135.0,50.0,0.00,16.7,50.0,100,83.3,0.0,62.5,71.7,98.18,111.8,2013-04-03
"T. Chandler, .C. Anthony, .J. Smith, .R. Felton, .I. Shumpert",NYK,1,2,100.0,20.0,80.0,100,0.00,33.3,0.0,100,50.0,0.0,50.0,50.0,102.05,166.7,2013-04-03
"J. Kidd, .K. Martin, .J. Smith, .S. Novak, .I. Shumpert",NYK,1,1,200.0,166.7,33.3,50.0,0.00,33.3,0.0,0.0,0.0,0.0,100,100,85.71,36.4,2013-04-03
"J. Kidd, .T. Chandler, .J. Smith, .R. Felton, .S. Novak",NYK,1,1,133.3,0.0,133.3,100,1.00,25.0,0.0,0.0,0.0,0.3,150.0,106.4,137.14,250.0,2013-04-03
"K. Martin, .C. Anthony, .J. Smith, .R. Felton, .I. Shumpert",NYK,1,1,66.7,66.7,0.0,100,0.00,25.0,0.0,50.0,25.0,0.0,33.3,33.3,112.21,0.0,2013-04-03
"J. Kidd, .K. Martin, .C. Anthony, .S. Novak, .C. Copeland",NYK,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2013-04-03
"T. Chandler, .C. Anthony, .J. Smith, .I. Shumpert, .P. Prigioni",NYK,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2013-04-03
"T. Chandler, .C. Anthony, .R. Felton, .S. Novak, .I. Shumpert",NYK,1,0,200.0,0.0,200.0,0.0,0.00,0.0,100,0.0,100,0.0,50.0,50.0,99.31,-33.3,2013-04-03
"P. Pierce, .C. Wilcox, .B. Bass, .J. Green, .A. Bradley",BOS,1,14,124.0,107.7,16.3,53.8,1.75,21.2,12.5,36.0,30.3,0.2,69.0,70.8,85.30,64.2,2013-04-03
"P. Pierce, .J. Terry, .B. Bass, .J. Green, .A. Bradley",BOS,1,5,110.0,122.2,-12.2,50.0,2.00,15.4,20.0,83.3,54.5,0.1,50.0,55.7,83.11,52.5,2013-04-03
"J. Terry, .C. Wilcox, .J. Green, .C. Lee, .T. Williams",BOS,1,4,71.4,171.4,-100.0,50.0,0.33,11.1,33.3,16.7,22.2,0.4,50.0,50.0,95.55,-4.2,2013-04-03
"J. Terry, .B. Bass, .J. Green, .T. Williams, .J. Crawford",BOS,1,3,100.0,50.0,50.0,66.7,2.00,25.0,0.0,100,75.0,0.2,75.0,75.0,104.73,126.7,2013-04-03
"J. Terry, .S. Randolph, .J. Green, .C. Lee, .T. Williams",BOS,1,3,133.3,50.0,83.3,50.0,0.00,14.3,0.0,66.7,40.0,0.0,62.5,69.4,114.51,112.5,2013-04-03
"P. Pierce, .B. Bass, .J. Green, .A. Bradley, .J. Crawford",BOS,1,3,150.0,114.3,35.7,100,2.00,22.2,50.0,100,75.0,0.2,50.0,72.6,90.00,60.0,2013-04-03
