lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"O. Asik, .J. Harden, .J. Lin, .D. Motiejunas, .C. Parsons",HOU,1,13,85.2,118.5,-33.3,55.6,1.25,14.7,12.5,61.5,34.5,0.1,39.6,43.9,100.34,27.1,2013-03-27
"C. Delfino, .J. Harden, .P. Beverley, .G. Smith, .T. Robinson",HOU,1,8,106.3,80.0,26.3,66.7,0.00,15.4,42.9,50.0,45.5,0.0,31.6,39.3,96.12,64.7,2013-03-27
"J. Harden, .P. Beverley, .C. Parsons, .G. Smith, .T. Robinson",HOU,1,7,133.3,41.7,91.7,66.7,4.00,22.2,33.3,87.5,64.3,0.1,59.1,62.7,86.83,100,2013-03-27
"C. Delfino, .P. Beverley, .C. Parsons, .G. Smith, .T. Robinson",HOU,1,5,155.6,180.0,-24.4,50.0,2.00,14.3,75.0,66.7,71.4,0.1,56.3,68.6,86.23,36.0,2013-03-27
"O. Asik, .J. Harden, .J. Lin, .C. Parsons, .G. Smith",HOU,1,5,100.0,88.9,11.1,33.3,0.50,8.3,25.0,80.0,55.6,0.2,57.1,63.5,93.38,52.8,2013-03-27
"O. Asik, .J. Harden, .P. Beverley, .C. Parsons, .G. Smith",HOU,1,5,66.7,77.8,-11.1,0.0,0.00,0.0,33.3,71.4,53.8,0.1,31.3,33.8,81.00,30.0,2013-03-27
"C. Delfino, .J. Harden, .P. Beverley, .C. Parsons, .G. Smith",HOU,1,3,0.0,120.0,-120.0,0.0,0.00,0.0,50.0,0.0,40.0,0.3,0.0,0.0,102.00,-1100.0,2013-03-27
"O. Asik, .J. Harden, .J. Lin, .C. Parsons, .T. Robinson",HOU,1,2,80.0,200.0,-120.0,100,1.00,28.6,0.0,0.0,0.0,0.4,66.7,66.7,115.20,5.9,2013-03-27
"O. Asik, .J. Harden, .P. Beverley, .C. Parsons, .T. Robinson",HOU,1,1,50.0,200.0,-150.0,0.0,0.00,0.0,0.0,0.0,0.0,0.5,0.0,56.8,135.00,-50.0,2013-03-27
"C. Delfino, .O. Asik, .J. Harden, .P. Beverley, .T. Robinson",HOU,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2013-03-27
